@relation P1RedesNeuronas-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute dlwrf_s1_1 numeric
@attribute dlwrf_s2_1 numeric
@attribute dlwrf_s3_1 numeric
@attribute dlwrf_s4_1 numeric
@attribute dlwrf_s5_1 numeric
@attribute dswrf_s1_1 numeric
@attribute dswrf_s2_1 numeric
@attribute dswrf_s3_1 numeric
@attribute dswrf_s4_1 numeric
@attribute dswrf_s5_1 numeric
@attribute pres_ms1_1 numeric
@attribute pres_ms2_1 numeric
@attribute pres_ms3_1 numeric
@attribute pres_ms4_1 numeric
@attribute pres_ms5_1 numeric
@attribute pwat_ea1_1 numeric
@attribute pwat_ea2_1 numeric
@attribute pwat_ea3_1 numeric
@attribute pwat_ea4_1 numeric
@attribute pwat_ea5_1 numeric
@attribute spfh_2m1_1 numeric
@attribute spfh_2m2_1 numeric
@attribute spfh_2m3_1 numeric
@attribute spfh_2m4_1 numeric
@attribute spfh_2m5_1 numeric
@attribute tmin_2m1_1 numeric
@attribute tmin_2m2_1 numeric
@attribute tmin_2m3_1 numeric
@attribute tmin_2m4_1 numeric
@attribute tmin_2m5_1 numeric
@attribute tmp_sfc1_1 numeric
@attribute tmp_sfc2_1 numeric
@attribute tmp_sfc3_1 numeric
@attribute tmp_sfc4_1 numeric
@attribute tmp_sfc5_1 numeric
@attribute ulwrf_s1_1 numeric
@attribute ulwrf_s2_1 numeric
@attribute ulwrf_s3_1 numeric
@attribute ulwrf_s4_1 numeric
@attribute ulwrf_s5_1 numeric
@attribute ulwrf_t1_1 numeric
@attribute ulwrf_t2_1 numeric
@attribute ulwrf_t3_1 numeric
@attribute ulwrf_t4_1 numeric
@attribute ulwrf_t5_1 numeric
@attribute uswrf_s1_1 numeric
@attribute uswrf_s2_1 numeric
@attribute uswrf_s3_1 numeric
@attribute uswrf_s4_1 numeric
@attribute uswrf_s5_1 numeric
@attribute dlwrf_s1_2 numeric
@attribute dlwrf_s2_2 numeric
@attribute dlwrf_s3_2 numeric
@attribute dlwrf_s4_2 numeric
@attribute dlwrf_s5_2 numeric
@attribute dswrf_s1_2 numeric
@attribute dswrf_s2_2 numeric
@attribute dswrf_s3_2 numeric
@attribute dswrf_s4_2 numeric
@attribute dswrf_s5_2 numeric
@attribute pres_ms1_2 numeric
@attribute pres_ms2_2 numeric
@attribute pres_ms3_2 numeric
@attribute pres_ms4_2 numeric
@attribute pres_ms5_2 numeric
@attribute pwat_ea1_2 numeric
@attribute pwat_ea2_2 numeric
@attribute pwat_ea3_2 numeric
@attribute pwat_ea4_2 numeric
@attribute pwat_ea5_2 numeric
@attribute spfh_2m1_2 numeric
@attribute spfh_2m2_2 numeric
@attribute spfh_2m3_2 numeric
@attribute spfh_2m4_2 numeric
@attribute spfh_2m5_2 numeric
@attribute tmin_2m1_2 numeric
@attribute tmin_2m2_2 numeric
@attribute tmin_2m3_2 numeric
@attribute tmin_2m4_2 numeric
@attribute tmin_2m5_2 numeric
@attribute tmp_sfc1_2 numeric
@attribute tmp_sfc2_2 numeric
@attribute tmp_sfc3_2 numeric
@attribute tmp_sfc4_2 numeric
@attribute tmp_sfc5_2 numeric
@attribute ulwrf_s1_2 numeric
@attribute ulwrf_s2_2 numeric
@attribute ulwrf_s3_2 numeric
@attribute ulwrf_s4_2 numeric
@attribute ulwrf_s5_2 numeric
@attribute ulwrf_t1_2 numeric
@attribute ulwrf_t2_2 numeric
@attribute ulwrf_t3_2 numeric
@attribute ulwrf_t4_2 numeric
@attribute ulwrf_t5_2 numeric
@attribute uswrf_s1_2 numeric
@attribute uswrf_s2_2 numeric
@attribute uswrf_s3_2 numeric
@attribute uswrf_s4_2 numeric
@attribute uswrf_s5_2 numeric
@attribute dlwrf_s1_3 numeric
@attribute dlwrf_s2_3 numeric
@attribute dlwrf_s3_3 numeric
@attribute dlwrf_s4_3 numeric
@attribute dlwrf_s5_3 numeric
@attribute dswrf_s1_3 numeric
@attribute dswrf_s2_3 numeric
@attribute dswrf_s3_3 numeric
@attribute dswrf_s4_3 numeric
@attribute dswrf_s5_3 numeric
@attribute pres_ms1_3 numeric
@attribute pres_ms2_3 numeric
@attribute pres_ms3_3 numeric
@attribute pres_ms4_3 numeric
@attribute pres_ms5_3 numeric
@attribute pwat_ea1_3 numeric
@attribute pwat_ea2_3 numeric
@attribute pwat_ea3_3 numeric
@attribute pwat_ea4_3 numeric
@attribute pwat_ea5_3 numeric
@attribute spfh_2m1_3 numeric
@attribute spfh_2m2_3 numeric
@attribute spfh_2m3_3 numeric
@attribute spfh_2m4_3 numeric
@attribute spfh_2m5_3 numeric
@attribute tmin_2m1_3 numeric
@attribute tmin_2m2_3 numeric
@attribute tmin_2m3_3 numeric
@attribute tmin_2m4_3 numeric
@attribute tmin_2m5_3 numeric
@attribute tmp_sfc1_3 numeric
@attribute tmp_sfc2_3 numeric
@attribute tmp_sfc3_3 numeric
@attribute tmp_sfc4_3 numeric
@attribute tmp_sfc5_3 numeric
@attribute ulwrf_s1_3 numeric
@attribute ulwrf_s2_3 numeric
@attribute ulwrf_s3_3 numeric
@attribute ulwrf_s4_3 numeric
@attribute ulwrf_s5_3 numeric
@attribute ulwrf_t1_3 numeric
@attribute ulwrf_t2_3 numeric
@attribute ulwrf_t3_3 numeric
@attribute ulwrf_t4_3 numeric
@attribute ulwrf_t5_3 numeric
@attribute uswrf_s1_3 numeric
@attribute uswrf_s2_3 numeric
@attribute uswrf_s3_3 numeric
@attribute uswrf_s4_3 numeric
@attribute uswrf_s5_3 numeric
@attribute dlwrf_s1_4 numeric
@attribute dlwrf_s2_4 numeric
@attribute dlwrf_s3_4 numeric
@attribute dlwrf_s4_4 numeric
@attribute dlwrf_s5_4 numeric
@attribute dswrf_s1_4 numeric
@attribute dswrf_s2_4 numeric
@attribute dswrf_s3_4 numeric
@attribute dswrf_s4_4 numeric
@attribute dswrf_s5_4 numeric
@attribute pres_ms1_4 numeric
@attribute pres_ms2_4 numeric
@attribute pres_ms3_4 numeric
@attribute pres_ms4_4 numeric
@attribute pres_ms5_4 numeric
@attribute pwat_ea1_4 numeric
@attribute pwat_ea2_4 numeric
@attribute pwat_ea3_4 numeric
@attribute pwat_ea4_4 numeric
@attribute pwat_ea5_4 numeric
@attribute spfh_2m1_4 numeric
@attribute spfh_2m2_4 numeric
@attribute spfh_2m3_4 numeric
@attribute spfh_2m4_4 numeric
@attribute spfh_2m5_4 numeric
@attribute tmin_2m1_4 numeric
@attribute tmin_2m2_4 numeric
@attribute tmin_2m3_4 numeric
@attribute tmin_2m4_4 numeric
@attribute tmin_2m5_4 numeric
@attribute tmp_sfc1_4 numeric
@attribute tmp_sfc2_4 numeric
@attribute tmp_sfc3_4 numeric
@attribute tmp_sfc4_4 numeric
@attribute tmp_sfc5_4 numeric
@attribute ulwrf_s1_4 numeric
@attribute ulwrf_s2_4 numeric
@attribute ulwrf_s3_4 numeric
@attribute ulwrf_s4_4 numeric
@attribute ulwrf_s5_4 numeric
@attribute ulwrf_t1_4 numeric
@attribute ulwrf_t2_4 numeric
@attribute ulwrf_t3_4 numeric
@attribute ulwrf_t4_4 numeric
@attribute ulwrf_t5_4 numeric
@attribute uswrf_s1_4 numeric
@attribute uswrf_s2_4 numeric
@attribute uswrf_s3_4 numeric
@attribute uswrf_s4_4 numeric
@attribute uswrf_s5_4 numeric
@attribute salida numeric

@data
0.282215,0.327413,0.357454,0.441008,0.451231,0,0.085635,0.286892,0.445601,0.351345,0.455113,0.422201,0.371183,0.328985,0.330142,0.070224,0.086079,0.120162,0.131026,0.13384,0.252581,0.288879,0.337542,0.339246,0.338079,0.487013,0.48163,0.481561,0.481178,0.492045,0.470459,0.358853,0.356183,0.37549,0.457718,0.405061,0.369336,0.319053,0.324213,0.331892,0.724878,0.5248,0.461075,0.293048,0.248922,0,0.063112,0.26528,0.325231,0.289252,0.263821,0.324224,0.340627,0.377336,0.398283,0,0.0563,0.300613,0.439118,0.34657,0.453255,0.428754,0.361737,0.311698,0.311926,0.058687,0.067379,0.094277,0.102011,0.119576,0.183891,0.201077,0.211469,0.235273,0.23254,0.46837,0.468599,0.468581,0.456668,0.479611,0.432119,0.333684,0.319146,0.358251,0.430927,0.36232,0.347589,0.288665,0.282147,0.29126,0.72779,0.527806,0.501707,0.366608,0.302825,0,0.063008,0.313403,0.30209,0.301756,0.261275,0.314742,0.317148,0.348239,0.356418,0,0.057292,0.294517,0.446328,0.35553,0.444573,0.439268,0.3869,0.296796,0.28899,0.053143,0.06259,0.083917,0.097733,0.135416,0.15265,0.177724,0.217191,0.238972,0.22332,0.425707,0.426471,0.426602,0.415968,0.424445,0.375114,0.282371,0.287615,0.346956,0.38924,0.309258,0.297096,0.232965,0.267059,0.270317,0.695017,0.482837,0.44964,0.371437,0.336645,0,0.080416,0.465424,0.425743,0.419737,0.292492,0.332562,0.338847,0.357806,0.362952,0,0.055556,0.270954,0.433702,0.344828,0.419581,0.41339,0.367352,0.279786,0.258948,0.053425,0.057199,0.076039,0.102419,0.13649,0.181404,0.174001,0.20202,0.233826,0.217223,0.463104,0.452476,0.452542,0.439436,0.456968,0.427788,0.313928,0.352376,0.40842,0.416423,0.35425,0.327386,0.268884,0.318439,0.333228,0.707624,0.492943,0.467816,0.358897,0.354614,0,0.060634,0.32118,0.321563,0.289262,0.170117
0.495047,0.500786,0.450294,0.349628,0.356549,0,0.058011,0.285307,0.502365,0.403302,0.250068,0.264357,0.253536,0.275819,0.361792,0.174333,0.137543,0.13086,0.150795,0.179284,0.403634,0.287189,0.183542,0.19653,0.21517,0.577526,0.576505,0.576499,0.500014,0.428565,0.570005,0.42946,0.398411,0.375597,0.413933,0.50359,0.458489,0.392168,0.349302,0.333519,0.298125,0.370191,0.47632,0.640637,0.594088,0,0.047878,0.275033,0.389935,0.365888,0.392624,0.381364,0.383528,0.305476,0.30711,0,0.058981,0.28681,0.496644,0.402961,0.280512,0.319876,0.293976,0.309919,0.404862,0.120152,0.131644,0.143033,0.149643,0.178974,0.181473,0.183714,0.19185,0.21728,0.223488,0.51182,0.487818,0.487807,0.438977,0.408897,0.47215,0.373451,0.340717,0.337838,0.383681,0.443481,0.3735,0.321336,0.286998,0.280384,0.47941,0.525638,0.526994,0.660524,0.638702,0,0.056911,0.296978,0.35791,0.387246,0.350645,0.377775,0.362379,0.298984,0.2917,0,0.057292,0.293007,0.485876,0.399537,0.290285,0.36019,0.367867,0.349038,0.431594,0.121452,0.142696,0.149373,0.153432,0.182936,0.167629,0.194862,0.1976,0.217864,0.244327,0.491449,0.481892,0.482018,0.446826,0.380854,0.449635,0.355738,0.348143,0.349184,0.37667,0.398918,0.358253,0.300588,0.295166,0.284194,0.59516,0.494437,0.509276,0.652943,0.649318,0,0.061495,0.354781,0.391639,0.416773,0.375115,0.432299,0.388194,0.304577,0.295872,0,0.05303,0.281376,0.474217,0.384013,0.307323,0.385487,0.422518,0.413103,0.473346,0.111165,0.127626,0.138562,0.173614,0.161876,0.203877,0.187936,0.17384,0.224215,0.19294,0.525137,0.511544,0.511651,0.453503,0.396731,0.501017,0.370643,0.388907,0.39219,0.376516,0.428216,0.38915,0.326071,0.329783,0.327645,0.591233,0.403913,0.506122,0.623117,0.628938,0,0.04944,0.302413,0.330829,0.315845,0.076157
0.239991,0.213632,0.216271,0.229384,0.232694,0,0.088398,0.339198,0.5421,0.450641,0.568954,0.563619,0.518384,0.463247,0.449885,0.076753,0.054687,0.060864,0.073019,0.095823,0.142171,0.126704,0.120553,0.132306,0.14612,0.402714,0.388724,0.388696,0.37112,0.322231,0.392423,0.294451,0.33164,0.344537,0.298498,0.350576,0.293739,0.264567,0.302597,0.282602,0.687352,0.658378,0.65881,0.678088,0.671878,0,0.097933,0.343953,0.43444,0.424299,0.227727,0.214168,0.222052,0.227626,0.230351,0,0.085791,0.33589,0.509108,0.420583,0.587787,0.586165,0.530135,0.465463,0.457392,0.054637,0.047019,0.063664,0.080561,0.104714,0.122271,0.11707,0.117598,0.127053,0.128543,0.381457,0.371143,0.371116,0.349051,0.332909,0.358889,0.276135,0.304185,0.326006,0.299611,0.31884,0.275575,0.241061,0.271155,0.252653,0.681702,0.655891,0.650197,0.666388,0.655984,0,0.085366,0.364652,0.375224,0.410351,0.231982,0.225005,0.226557,0.225186,0.228379,0,0.057292,0.320193,0.504708,0.411118,0.591725,0.603322,0.566161,0.467549,0.456112,0.052924,0.057083,0.067621,0.083192,0.11532,0.108728,0.111108,0.107686,0.122585,0.129421,0.380307,0.358922,0.359009,0.353699,0.325748,0.357124,0.277761,0.34889,0.343451,0.318799,0.321586,0.266636,0.243688,0.299741,0.272451,0.657183,0.637018,0.620713,0.667787,0.637712,0,0.081362,0.345159,0.363036,0.389665,0.251471,0.243613,0.24753,0.236132,0.252621,0,0.055556,0.296263,0.484346,0.39073,0.5885,0.597612,0.57523,0.472683,0.452059,0.056419,0.063342,0.073988,0.091501,0.121254,0.09596,0.108446,0.099808,0.109892,0.115967,0.384002,0.345354,0.345432,0.378301,0.368883,0.355256,0.28681,0.381802,0.383945,0.348959,0.32502,0.255667,0.252328,0.325069,0.315068,0.654327,0.643221,0.641882,0.625577,0.568555,0,0.071828,0.27882,0.303531,0.285065,0.387535
0.288302,0.28077,0.280042,0.302485,0.269051,0,0.088398,0.323348,0.53264,0.442559,0.279587,0.258724,0.267354,0.316521,0.497303,0.116986,0.072423,0.121136,0.145033,0.106871,0.127244,0.125922,0.16059,0.161057,0.098983,0.444268,0.449419,0.449412,0.462994,0.303633,0.418955,0.348516,0.348234,0.33801,0.310636,0.356637,0.335661,0.300366,0.308306,0.282427,0.685918,0.64715,0.65467,0.661523,0.649126,0,0.090316,0.338752,0.417323,0.408411,0.293477,0.299652,0.309896,0.278808,0.237052,0,0.085791,0.319018,0.493768,0.404135,0.292318,0.273632,0.260137,0.355808,0.512137,0.150523,0.084106,0.163526,0.14594,0.117755,0.131836,0.143442,0.185627,0.140173,0.090253,0.425473,0.441653,0.441628,0.362181,0.273439,0.396556,0.330611,0.315252,0.252503,0.276899,0.325941,0.327054,0.28134,0.243702,0.211348,0.671281,0.650255,0.64548,0.617275,0.600148,0,0.085366,0.352168,0.352836,0.38817,0.304541,0.302667,0.30554,0.255937,0.231108,0,0.057292,0.30358,0.464218,0.378691,0.280959,0.296058,0.311158,0.384952,0.536919,0.156796,0.137364,0.189695,0.152873,0.14078,0.139692,0.164128,0.186521,0.126141,0.096674,0.413817,0.434259,0.433802,0.299224,0.231271,0.402141,0.320307,0.3094,0.238595,0.263535,0.327095,0.320422,0.269953,0.228057,0.197243,0.640076,0.63779,0.60967,0.579419,0.561075,0,0.070956,0.325316,0.327283,0.350699,0.311119,0.314042,0.31183,0.316808,0.274327,0,0.05303,0.276909,0.373849,0.302284,0.273793,0.300424,0.372373,0.462091,0.57475,0.132731,0.164187,0.191354,0.15849,0.158213,0.135556,0.163614,0.144023,0.096193,0.103548,0.415364,0.425423,0.422041,0.271031,0.242897,0.412278,0.30825,0.308518,0.245855,0.25218,0.335577,0.313328,0.259781,0.221128,0.210777,0.635508,0.646693,0.616288,0.497482,0.487148,0,0.058769,0.256836,0.215377,0.211263,0.278559
0.191107,0.200728,0.201977,0.197438,0.201926,0,0.088398,0.323348,0.543046,0.454105,0.644907,0.660849,0.658581,0.654188,0.658554,0.078508,0.056603,0.056549,0.067353,0.089758,0.160087,0.16457,0.147675,0.126704,0.126736,0.340798,0.346433,0.346458,0.347304,0.294921,0.33358,0.257909,0.28436,0.287382,0.266258,0.27801,0.254877,0.225153,0.249114,0.237641,0.655943,0.634222,0.623094,0.625026,0.626755,0,0.087051,0.337451,0.431017,0.423364,0.197998,0.223238,0.224127,0.215114,0.218867,0,0.085791,0.320552,0.509108,0.420583,0.644784,0.665047,0.655965,0.642154,0.653321,0.090645,0.05935,0.075577,0.088865,0.09888,0.161721,0.160151,0.144039,0.138883,0.12844,0.335764,0.348811,0.348745,0.340074,0.301083,0.323513,0.248516,0.259923,0.283995,0.266172,0.255431,0.254374,0.213179,0.224977,0.21706,0.649762,0.636879,0.614374,0.609594,0.61457,0,0.085366,0.358081,0.368955,0.40573,0.228497,0.235988,0.22966,0.217109,0.214007,0,0.057292,0.317173,0.498117,0.412276,0.64129,0.674091,0.674051,0.642557,0.654284,0.105353,0.066623,0.084807,0.092728,0.099672,0.17461,0.162694,0.143722,0.141111,0.134726,0.341944,0.357092,0.35716,0.34388,0.287985,0.34067,0.257059,0.288035,0.309821,0.274674,0.265591,0.264278,0.21892,0.252456,0.233772,0.617298,0.622754,0.588775,0.609434,0.610538,0,0.071902,0.347565,0.367437,0.399407,0.262687,0.239899,0.236836,0.216089,0.210516,0,0.055556,0.296263,0.485267,0.397447,0.645571,0.680139,0.682891,0.653659,0.661954,0.095648,0.071533,0.086771,0.095834,0.096602,0.180838,0.155999,0.144386,0.137553,0.125639,0.348719,0.357098,0.357158,0.342959,0.307889,0.353795,0.255678,0.315233,0.339931,0.272987,0.274459,0.262122,0.221434,0.272676,0.265621,0.605684,0.634563,0.60839,0.576105,0.581349,0,0.064366,0.286327,0.313549,0.305701,0.312347
0.269039,0.273814,0.286339,0.312793,0.308101,0,0.088398,0.323348,0.53264,0.44302,0.645294,0.625361,0.605719,0.590173,0.587765,0.116871,0.118846,0.132602,0.130738,0.116452,0.14356,0.145364,0.16727,0.166032,0.145816,0.392097,0.422534,0.422445,0.443515,0.42114,0.377619,0.30792,0.365098,0.380642,0.365514,0.287474,0.295086,0.280657,0.336319,0.323067,0.671779,0.655111,0.65355,0.67761,0.680343,0,0.085963,0.324447,0.416638,0.413084,0.267543,0.291959,0.305209,0.311632,0.311462,0,0.058981,0.319018,0.498562,0.420113,0.636315,0.626314,0.600935,0.57587,0.574306,0.128574,0.13071,0.140995,0.141342,0.135242,0.133601,0.150108,0.160974,0.181376,0.159916,0.373275,0.396065,0.396025,0.424089,0.420336,0.339458,0.287526,0.339612,0.374122,0.357875,0.255623,0.271277,0.256824,0.304527,0.294185,0.648303,0.633189,0.629689,0.665915,0.668121,0,0.085366,0.343627,0.358507,0.398799,0.289432,0.304375,0.307543,0.308029,0.305277,0,0.057292,0.30358,0.495292,0.411581,0.635567,0.637924,0.621497,0.571366,0.561554,0.140934,0.13821,0.138879,0.139433,0.148707,0.133981,0.136235,0.142058,0.169921,0.162559,0.383012,0.394891,0.394971,0.432992,0.401373,0.356072,0.291501,0.371887,0.404931,0.364506,0.278329,0.274014,0.258641,0.335217,0.317834,0.611359,0.611713,0.599895,0.66936,0.666217,0,0.070956,0.330728,0.350935,0.385006,0.31671,0.32133,0.33193,0.336933,0.33401,0,0.055556,0.279887,0.476059,0.387819,0.630137,0.634526,0.61705,0.565318,0.549064,0.137528,0.14478,0.15357,0.168317,0.168938,0.111413,0.105109,0.138233,0.161976,0.147705,0.433412,0.437416,0.437498,0.458215,0.446291,0.391468,0.31183,0.414709,0.459906,0.389019,0.317328,0.300132,0.279407,0.376506,0.372259,0.616739,0.631865,0.62879,0.639749,0.641472,0,0.061567,0.267024,0.292762,0.286464,0.381386
0.295404,0.283528,0.293253,0.314322,0.315949,0,0.088398,0.323348,0.543046,0.454105,0.522382,0.512219,0.502415,0.515221,0.553027,0.091447,0.082045,0.094701,0.120966,0.164114,0.107918,0.105506,0.12726,0.186455,0.242162,0.482297,0.473133,0.473088,0.479106,0.42345,0.450162,0.353027,0.397109,0.393888,0.386408,0.402347,0.347985,0.32499,0.36054,0.343449,0.689068,0.694531,0.69814,0.719414,0.71608,0,0.095756,0.338752,0.425197,0.417757,0.316135,0.317911,0.331141,0.347224,0.349912,0,0.085791,0.319018,0.498562,0.408835,0.518668,0.519963,0.516382,0.532294,0.566867,0.096746,0.096858,0.15542,0.20727,0.217278,0.105913,0.112193,0.19245,0.284337,0.279441,0.48273,0.479187,0.479125,0.477248,0.413806,0.433453,0.347652,0.358306,0.373811,0.372694,0.376255,0.345138,0.3088,0.311359,0.303358,0.698706,0.700659,0.691566,0.683182,0.681213,0,0.085366,0.350854,0.354627,0.389556,0.348053,0.358084,0.37051,0.365687,0.354483,0,0.057292,0.30358,0.484934,0.399537,0.509707,0.546087,0.561679,0.551718,0.569212,0.125152,0.168158,0.224003,0.225572,0.227828,0.112204,0.161954,0.264878,0.277337,0.243117,0.501326,0.508017,0.508118,0.471332,0.381447,0.445089,0.377318,0.384091,0.406959,0.36378,0.38055,0.369673,0.322244,0.339263,0.324749,0.678604,0.680839,0.652253,0.658922,0.650119,0,0.070956,0.318701,0.338284,0.371453,0.401402,0.409038,0.407111,0.368843,0.357459,0,0.055556,0.279887,0.466851,0.381773,0.516351,0.570374,0.595733,0.570278,0.574394,0.183687,0.226427,0.22876,0.23475,0.241097,0.164166,0.20972,0.247173,0.221659,0.205809,0.559339,0.554849,0.554955,0.458208,0.425678,0.522696,0.406215,0.420239,0.458048,0.387777,0.445512,0.415243,0.353408,0.377329,0.373541,0.692176,0.691747,0.659626,0.587666,0.595895,0,0.061567,0.255228,0.280741,0.274572,0.36552
0.321224,0.304437,0.315628,0.334781,0.332662,0,0.088398,0.323348,0.53264,0.442559,0.537235,0.53149,0.522627,0.514869,0.526801,0.152376,0.14355,0.148829,0.158913,0.185338,0.247335,0.241604,0.244231,0.238142,0.231573,0.40394,0.394171,0.394107,0.437228,0.413583,0.383243,0.345305,0.390248,0.391091,0.373417,0.352327,0.296673,0.305854,0.351359,0.336356,0.649733,0.639572,0.66043,0.697003,0.683716,0,0.085963,0.323797,0.415611,0.409813,0.328744,0.328548,0.338137,0.330457,0.331497,0,0.0563,0.319018,0.498562,0.410009,0.548003,0.554667,0.531622,0.523896,0.537952,0.172172,0.172893,0.186213,0.20482,0.20289,0.205913,0.207214,0.213017,0.228698,0.220461,0.404431,0.401218,0.401198,0.429901,0.406108,0.36803,0.325065,0.351331,0.371561,0.363022,0.324767,0.293292,0.283776,0.307018,0.297991,0.636873,0.621252,0.622584,0.631445,0.62092,0,0.074187,0.336399,0.352836,0.387708,0.35389,0.345673,0.350378,0.355625,0.341559,0,0.057292,0.30358,0.478343,0.394904,0.54869,0.572427,0.560676,0.524475,0.545744,0.20715,0.217618,0.232513,0.224861,0.214249,0.206665,0.194872,0.205049,0.218079,0.220646,0.412611,0.4166,0.416725,0.446758,0.383245,0.377066,0.335913,0.384652,0.399893,0.36696,0.332385,0.302204,0.287481,0.33734,0.321045,0.60715,0.591439,0.572851,0.583941,0.604432,0,0.069063,0.314492,0.329483,0.361711,0.380494,0.373126,0.400969,0.448871,0.407103,0,0.055556,0.260533,0.412523,0.347067,0.548659,0.570612,0.558809,0.519524,0.538191,0.230242,0.253714,0.265773,0.250239,0.243849,0.19994,0.194433,0.218323,0.224823,0.214214,0.449006,0.468603,0.468709,0.475624,0.42749,0.421935,0.359188,0.426697,0.466184,0.389341,0.35616,0.338837,0.312638,0.3808,0.379782,0.604511,0.612623,0.577643,0.50374,0.558995,0,0.061567,0.230563,0.233909,0.243442,0.344237
0.390412,0.372915,0.370088,0.342142,0.323509,0,0.058011,0.255191,0.442763,0.370627,0.691474,0.746335,0.811956,0.835019,0.852923,0.228239,0.205279,0.211369,0.222084,0.211419,0.278247,0.215914,0.179572,0.188052,0.166014,0.470269,0.448949,0.448934,0.339307,0.312537,0.463836,0.336793,0.28239,0.270299,0.315267,0.401555,0.354243,0.284947,0.23888,0.2305,0.464484,0.384966,0.329038,0.255445,0.311986,0,0.044614,0.220416,0.312907,0.303738,0.418595,0.379812,0.358302,0.292531,0.275443,0,0.0563,0.279141,0.459252,0.383811,0.729784,0.791915,0.843484,0.849282,0.864195,0.233885,0.221805,0.237347,0.222748,0.192142,0.210942,0.170926,0.16218,0.161799,0.135072,0.453524,0.420659,0.420626,0.309403,0.302347,0.443927,0.304947,0.256628,0.273988,0.292025,0.376766,0.33923,0.257409,0.219387,0.212199,0.3426,0.321017,0.341648,0.399246,0.444225,0,0.04065,0.272011,0.312537,0.348429,0.402938,0.35539,0.32883,0.251294,0.236825,0,0.057292,0.285455,0.483992,0.400579,0.774254,0.830395,0.866496,0.862586,0.865072,0.260168,0.241898,0.208659,0.171325,0.155491,0.185996,0.156563,0.141155,0.137078,0.125859,0.426379,0.396986,0.397097,0.311056,0.271584,0.426817,0.295465,0.289723,0.312759,0.279439,0.380206,0.324194,0.248844,0.256287,0.238058,0.445886,0.405844,0.408815,0.541846,0.552774,0,0.039735,0.28623,0.338559,0.373147,0.386761,0.306968,0.292683,0.233183,0.224598,0,0.055556,0.278398,0.480663,0.397,0.813901,0.85015,0.877143,0.868419,0.865487,0.208342,0.165843,0.137924,0.133578,0.13253,0.16649,0.143184,0.133247,0.129741,0.119287,0.413565,0.38398,0.384062,0.313439,0.293391,0.42107,0.287709,0.328236,0.359591,0.280144,0.390548,0.306676,0.246961,0.289827,0.283648,0.452431,0.535291,0.510449,0.534047,0.554278,0,0.050373,0.24504,0.29151,0.289962,0.141163
0.271015,0.270531,0.286404,0.319888,0.323446,0,0.088398,0.323348,0.53264,0.443136,0.828783,0.791726,0.757037,0.706288,0.693685,0.175372,0.160418,0.16578,0.165447,0.167975,0.148463,0.156529,0.195986,0.225646,0.222104,0.317607,0.333077,0.333095,0.39726,0.403181,0.30085,0.28217,0.339729,0.359717,0.357523,0.255183,0.243854,0.244137,0.311669,0.304689,0.620061,0.635021,0.652395,0.685349,0.68169,0,0.085963,0.317295,0.41253,0.407477,0.248156,0.278471,0.295519,0.314593,0.320176,0,0.0563,0.319018,0.50815,0.420935,0.809258,0.782704,0.736332,0.690513,0.67069,0.140765,0.139812,0.158871,0.175958,0.15276,0.125883,0.149585,0.182556,0.207953,0.230934,0.315988,0.355885,0.35592,0.389742,0.35602,0.302219,0.27006,0.315418,0.360872,0.309346,0.229664,0.250802,0.233829,0.286596,0.277806,0.637266,0.659788,0.651375,0.662522,0.666266,0,0.074187,0.343627,0.35791,0.397874,0.27594,0.296807,0.303968,0.319243,0.318193,0,0.057292,0.30358,0.495292,0.412391,0.793268,0.777592,0.740957,0.685266,0.661755,0.136823,0.148019,0.170694,0.163287,0.145365,0.111907,0.122582,0.154238,0.19636,0.211497,0.356398,0.383269,0.383246,0.406639,0.358021,0.339288,0.285011,0.356487,0.403473,0.328275,0.263975,0.269561,0.246009,0.327737,0.310294,0.642072,0.636785,0.611889,0.660833,0.672406,0,0.070956,0.325316,0.347635,0.385853,0.326481,0.331095,0.342137,0.347509,0.34243,0,0.055556,0.279887,0.485267,0.397335,0.773293,0.756391,0.727968,0.67584,0.65514,0.147904,0.171815,0.175965,0.164742,0.151219,0.091595,0.108435,0.178728,0.217835,0.199884,0.425284,0.431761,0.431826,0.441955,0.427635,0.399428,0.311264,0.414063,0.465705,0.374252,0.321941,0.307709,0.279682,0.380739,0.375196,0.65357,0.645672,0.632478,0.652493,0.666051,0,0.061567,0.261126,0.292261,0.289262,0.379399
