dlwrf_s1_1,dlwrf_s2_1,dlwrf_s3_1,dlwrf_s4_1,dlwrf_s5_1,dswrf_s1_1,dswrf_s2_1,dswrf_s3_1,dswrf_s4_1,dswrf_s5_1,pres_ms1_1,pres_ms2_1,pres_ms3_1,pres_ms4_1,pres_ms5_1,pwat_ea1_1,pwat_ea2_1,pwat_ea3_1,pwat_ea4_1,pwat_ea5_1,spfh_2m1_1,spfh_2m2_1,spfh_2m3_1,spfh_2m4_1,spfh_2m5_1,tmin_2m1_1,tmin_2m2_1,tmin_2m3_1,tmin_2m4_1,tmin_2m5_1,tmp_sfc1_1,tmp_sfc2_1,tmp_sfc3_1,tmp_sfc4_1,tmp_sfc5_1,ulwrf_s1_1,ulwrf_s2_1,ulwrf_s3_1,ulwrf_s4_1,ulwrf_s5_1,ulwrf_t1_1,ulwrf_t2_1,ulwrf_t3_1,ulwrf_t4_1,ulwrf_t5_1,uswrf_s1_1,uswrf_s2_1,uswrf_s3_1,uswrf_s4_1,uswrf_s5_1,dlwrf_s1_2,dlwrf_s2_2,dlwrf_s3_2,dlwrf_s4_2,dlwrf_s5_2,dswrf_s1_2,dswrf_s2_2,dswrf_s3_2,dswrf_s4_2,dswrf_s5_2,pres_ms1_2,pres_ms2_2,pres_ms3_2,pres_ms4_2,pres_ms5_2,pwat_ea1_2,pwat_ea2_2,pwat_ea3_2,pwat_ea4_2,pwat_ea5_2,spfh_2m1_2,spfh_2m2_2,spfh_2m3_2,spfh_2m4_2,spfh_2m5_2,tmin_2m1_2,tmin_2m2_2,tmin_2m3_2,tmin_2m4_2,tmin_2m5_2,tmp_sfc1_2,tmp_sfc2_2,tmp_sfc3_2,tmp_sfc4_2,tmp_sfc5_2,ulwrf_s1_2,ulwrf_s2_2,ulwrf_s3_2,ulwrf_s4_2,ulwrf_s5_2,ulwrf_t1_2,ulwrf_t2_2,ulwrf_t3_2,ulwrf_t4_2,ulwrf_t5_2,uswrf_s1_2,uswrf_s2_2,uswrf_s3_2,uswrf_s4_2,uswrf_s5_2,dlwrf_s1_3,dlwrf_s2_3,dlwrf_s3_3,dlwrf_s4_3,dlwrf_s5_3,dswrf_s1_3,dswrf_s2_3,dswrf_s3_3,dswrf_s4_3,dswrf_s5_3,pres_ms1_3,pres_ms2_3,pres_ms3_3,pres_ms4_3,pres_ms5_3,pwat_ea1_3,pwat_ea2_3,pwat_ea3_3,pwat_ea4_3,pwat_ea5_3,spfh_2m1_3,spfh_2m2_3,spfh_2m3_3,spfh_2m4_3,spfh_2m5_3,tmin_2m1_3,tmin_2m2_3,tmin_2m3_3,tmin_2m4_3,tmin_2m5_3,tmp_sfc1_3,tmp_sfc2_3,tmp_sfc3_3,tmp_sfc4_3,tmp_sfc5_3,ulwrf_s1_3,ulwrf_s2_3,ulwrf_s3_3,ulwrf_s4_3,ulwrf_s5_3,ulwrf_t1_3,ulwrf_t2_3,ulwrf_t3_3,ulwrf_t4_3,ulwrf_t5_3,uswrf_s1_3,uswrf_s2_3,uswrf_s3_3,uswrf_s4_3,uswrf_s5_3,dlwrf_s1_4,dlwrf_s2_4,dlwrf_s3_4,dlwrf_s4_4,dlwrf_s5_4,dswrf_s1_4,dswrf_s2_4,dswrf_s3_4,dswrf_s4_4,dswrf_s5_4,pres_ms1_4,pres_ms2_4,pres_ms3_4,pres_ms4_4,pres_ms5_4,pwat_ea1_4,pwat_ea2_4,pwat_ea3_4,pwat_ea4_4,pwat_ea5_4,spfh_2m1_4,spfh_2m2_4,spfh_2m3_4,spfh_2m4_4,spfh_2m5_4,tmin_2m1_4,tmin_2m2_4,tmin_2m3_4,tmin_2m4_4,tmin_2m5_4,tmp_sfc1_4,tmp_sfc2_4,tmp_sfc3_4,tmp_sfc4_4,tmp_sfc5_4,ulwrf_s1_4,ulwrf_s2_4,ulwrf_s3_4,ulwrf_s4_4,ulwrf_s5_4,ulwrf_t1_4,ulwrf_t2_4,ulwrf_t3_4,ulwrf_t4_4,ulwrf_t5_4,uswrf_s1_4,uswrf_s2_4,uswrf_s3_4,uswrf_s4_4,uswrf_s5_4,salida
0.353446,0.345193,0.363073,0.382091,0.370148,0,0.088398,0.307497,0.508042,0.420621,0.432575,0.427704,0.425587,0.405527,0.409826,0.143,0.154195,0.172597,0.173698,0.17079,0.172638,0.188234,0.192698,0.173945,0.153463,0.50617,0.484964,0.484907,0.521525,0.410355,0.46962,0.418266,0.451523,0.444872,0.372641,0.443259,0.367851,0.374376,0.410336,0.38516,0.707412,0.642961,0.621061,0.619127,0.63873,0,0.084875,0.310143,0.398836,0.38972,0.360269,0.372594,0.394171,0.403391,0.389064,0,0.080429,0.303681,0.462128,0.382989,0.449306,0.454889,0.43365,0.408549,0.415644,0.165308,0.180205,0.206042,0.216891,0.214741,0.192802,0.208306,0.209152,0.203245,0.178265,0.523585,0.512957,0.512926,0.514099,0.427065,0.48687,0.414925,0.428047,0.446194,0.38022,0.451651,0.392673,0.369846,0.37977,0.360985,0.712782,0.653281,0.604505,0.52409,0.580847,0,0.078252,0.323916,0.325075,0.357671,0.376997,0.383935,0.397794,0.414157,0.394222,0,0.057292,0.283945,0.439736,0.36132,0.451291,0.480911,0.474904,0.413216,0.410417,0.192097,0.204725,0.221126,0.226091,0.226785,0.218313,0.217148,0.20644,0.196119,0.178498,0.536011,0.531043,0.531135,0.518751,0.411887,0.513571,0.418799,0.452052,0.475642,0.389604,0.469522,0.413844,0.37285,0.405727,0.383318,0.68231,0.640251,0.558988,0.460947,0.536082,0,0.065279,0.295851,0.302805,0.330792,0.390858,0.387006,0.402609,0.395105,0.379192,0,0.055556,0.264999,0.441989,0.358262,0.457001,0.491591,0.495091,0.431578,0.418415,0.195912,0.195533,0.205422,0.220601,0.218178,0.215391,0.188683,0.178816,0.157586,0.140473,0.542115,0.532745,0.532794,0.510613,0.447252,0.523395,0.406852,0.474431,0.505601,0.401546,0.463747,0.409044,0.368547,0.428074,0.416556,0.665056,0.640231,0.564687,0.508274,0.558228,0,0.054104,0.235389,0.264713,0.257782,0.259786
0.346986,0.332351,0.344884,0.400116,0.399445,0,0.088398,0.323348,0.500473,0.406766,0.359202,0.33885,0.298098,0.261223,0.263036,0.169225,0.158809,0.174145,0.186484,0.199353,0.161674,0.15189,0.154424,0.145932,0.139175,0.500624,0.50564,0.505585,0.52065,0.516656,0.472734,0.387744,0.419296,0.430028,0.462791,0.393582,0.374494,0.354608,0.384341,0.381426,0.681567,0.673964,0.67889,0.555472,0.575159,0,0.097933,0.324447,0.383773,0.368224,0.354634,0.352979,0.36428,0.382366,0.388806,0,0.085791,0.319018,0.480345,0.392387,0.377124,0.369487,0.300902,0.248555,0.247428,0.184324,0.164705,0.179871,0.217956,0.180189,0.145505,0.150058,0.150977,0.153218,0.14898,0.500072,0.500906,0.500881,0.504865,0.522074,0.460544,0.37713,0.39167,0.437158,0.463726,0.388614,0.375107,0.338225,0.354713,0.359917,0.682739,0.672478,0.677713,0.638257,0.643336,0,0.085366,0.348883,0.343582,0.371072,0.383658,0.374096,0.372815,0.380991,0.380728,0,0.057292,0.30358,0.479284,0.38564,0.377751,0.387983,0.337717,0.236628,0.225845,0.215219,0.195333,0.197081,0.215386,0.147222,0.136625,0.143686,0.153231,0.176679,0.185905,0.51744,0.513483,0.513557,0.50351,0.502047,0.480905,0.390729,0.418902,0.47147,0.46569,0.417801,0.388513,0.343922,0.383795,0.384846,0.667634,0.654692,0.647583,0.672206,0.679681,0,0.070956,0.325316,0.338009,0.363405,0.409635,0.397809,0.402354,0.393557,0.390117,0,0.055556,0.279887,0.460405,0.370578,0.377896,0.381038,0.343722,0.246425,0.228961,0.225239,0.21467,0.209082,0.209583,0.167771,0.123068,0.129693,0.146756,0.173994,0.182972,0.545492,0.537115,0.537213,0.522923,0.4808,0.514002,0.401942,0.469845,0.509537,0.428531,0.442582,0.405134,0.364975,0.423015,0.424488,0.674555,0.667439,0.666086,0.64389,0.657013,0,0.061567,0.261662,0.281493,0.272823,0.362119
0.35229,0.299714,0.286104,0.265937,0.265547,0,0.088398,0.334443,0.538316,0.442559,0.31146,0.38688,0.423771,0.418611,0.427008,0.104375,0.065085,0.068964,0.07647,0.093831,0.113348,0.115017,0.125953,0.132796,0.136615,0.572935,0.535289,0.535229,0.45576,0.342592,0.55416,0.399447,0.384525,0.391675,0.320655,0.517857,0.42352,0.363827,0.349082,0.327154,0.780351,0.686137,0.692305,0.698292,0.687697,0,0.097933,0.342653,0.42999,0.419626,0.343879,0.302656,0.299351,0.27926,0.27956,0,0.085791,0.331288,0.502397,0.413534,0.363063,0.428293,0.436187,0.415127,0.427592,0.102487,0.068544,0.097266,0.105208,0.120718,0.097668,0.12068,0.133268,0.131839,0.123471,0.555004,0.518818,0.518746,0.445789,0.350482,0.531116,0.382082,0.362936,0.394719,0.320641,0.491561,0.411074,0.343179,0.323199,0.304975,0.731732,0.689673,0.676872,0.665063,0.647014,0,0.085366,0.36071,0.366269,0.398336,0.366935,0.304111,0.297862,0.278198,0.279343,0,0.057292,0.30358,0.489642,0.397221,0.384055,0.461406,0.47731,0.414715,0.41752,0.106243,0.094023,0.107839,0.119213,0.141727,0.120159,0.143022,0.134406,0.126127,0.118045,0.539788,0.508927,0.509021,0.439047,0.342754,0.52667,0.380251,0.387499,0.415229,0.335629,0.498965,0.408142,0.33785,0.347582,0.322324,0.651856,0.678686,0.64175,0.618388,0.586775,0,0.070956,0.334336,0.348735,0.369335,0.361691,0.30327,0.300143,0.286544,0.288378,0,0.055556,0.294774,0.465009,0.372817,0.417235,0.482997,0.495453,0.42632,0.409666,0.115494,0.089483,0.104566,0.131501,0.139266,0.143562,0.146848,0.134629,0.115015,0.103175,0.523038,0.490416,0.490484,0.434548,0.382269,0.509378,0.364523,0.421281,0.44639,0.348944,0.476585,0.38262,0.329737,0.375732,0.361054,0.63786,0.67612,0.647723,0.545765,0.502872,0,0.063433,0.272922,0.286251,0.268975,0.371006
0.291396,0.297615,0.307607,0.344244,0.361521,0,0.088398,0.324933,0.526963,0.426394,0.333365,0.320637,0.294713,0.271018,0.280358,0.101912,0.097534,0.091285,0.102177,0.133728,0.091419,0.098184,0.106269,0.111824,0.114041,0.484708,0.481422,0.481429,0.524027,0.52915,0.462184,0.366506,0.419074,0.443894,0.468579,0.394822,0.361381,0.341094,0.393899,0.391663,0.670925,0.637462,0.65244,0.635338,0.593948,0,0.09358,0.335501,0.415269,0.38972,0.322075,0.352384,0.372642,0.413249,0.405706,0,0.085791,0.31135,0.444871,0.367716,0.334525,0.339821,0.292442,0.255496,0.268851,0.17108,0.172144,0.188439,0.190882,0.172712,0.070941,0.067745,0.072212,0.096196,0.095588,0.485994,0.492783,0.492751,0.512593,0.522724,0.459405,0.371771,0.402796,0.443418,0.45305,0.383867,0.372297,0.339026,0.364757,0.364134,0.620446,0.643912,0.611621,0.474642,0.527728,0,0.083333,0.329172,0.306866,0.33549,0.342863,0.348976,0.372556,0.397372,0.382613,0,0.057292,0.277904,0.446328,0.371743,0.333087,0.364823,0.341326,0.261266,0.259191,0.18433,0.181469,0.2113,0.211725,0.193809,0.069775,0.08301,0.087114,0.11498,0.114257,0.463092,0.437949,0.438005,0.45607,0.444883,0.437193,0.358629,0.416105,0.455321,0.405953,0.38485,0.336063,0.316785,0.380099,0.364682,0.552668,0.616261,0.5338,0.503008,0.567384,0,0.069063,0.285027,0.305281,0.336298,0.411343,0.346072,0.366022,0.367793,0.354628,0,0.055556,0.267977,0.458564,0.372817,0.347851,0.381928,0.370146,0.286874,0.271125,0.163162,0.157585,0.175761,0.19226,0.184971,0.083767,0.098273,0.095195,0.11237,0.109975,0.457516,0.415536,0.415584,0.450407,0.441608,0.435317,0.344336,0.466421,0.486187,0.393001,0.396837,0.315234,0.314023,0.417046,0.400592,0.345766,0.619905,0.576342,0.577718,0.60994,0,0.058769,0.243432,0.277986,0.271773,0.211121
0.464296,0.500649,0.491268,0.418559,0.379228,0,0.060773,0.286892,0.48439,0.402148,0.166737,0.193606,0.200025,0.217165,0.258514,0.268627,0.217779,0.083299,0.060888,0.0362,0.121457,0.142024,0.156309,0.099481,0.065574,0.69246,0.700469,0.700396,0.624317,0.565195,0.677352,0.537686,0.4775,0.444818,0.511744,0.598629,0.563214,0.495554,0.415885,0.415192,0.597716,0.523819,0.508331,0.532128,0.607513,0,0.048966,0.26658,0.364601,0.364486,0.475748,0.541609,0.495848,0.360072,0.339085,0,0.0563,0.297546,0.494727,0.413534,0.155553,0.202972,0.171577,0.170859,0.225222,0.267575,0.142639,0.090499,0.063993,0.064414,0.104612,0.16317,0.155271,0.095128,0.066003,0.696888,0.713129,0.713073,0.591743,0.555914,0.670134,0.538872,0.436278,0.444516,0.500048,0.584496,0.578745,0.478859,0.376608,0.380996,0.558905,0.44904,0.522407,0.684203,0.729722,0,0.035569,0.304862,0.356119,0.399723,0.462512,0.514288,0.459272,0.348566,0.348922,0,0.057292,0.302069,0.5,0.408801,0.12674,0.198525,0.174297,0.118284,0.182456,0.249039,0.102208,0.105533,0.124717,0.146873,0.122341,0.189195,0.167053,0.126493,0.119967,0.651468,0.685264,0.685429,0.57737,0.528515,0.648675,0.521064,0.459073,0.475585,0.499658,0.551759,0.55618,0.456823,0.402068,0.403408,0.607073,0.462006,0.561506,0.773805,0.757642,0,0.035951,0.312087,0.357536,0.387548,0.438721,0.479612,0.439812,0.391717,0.423441,0,0.055556,0.294774,0.468692,0.366099,0.113147,0.168473,0.158196,0.114762,0.175206,0.231234,0.081147,0.136607,0.234636,0.208982,0.128284,0.168752,0.175498,0.201067,0.181555,0.601395,0.643022,0.643121,0.562306,0.523424,0.611977,0.491868,0.494179,0.510098,0.495347,0.49326,0.512845,0.439919,0.440152,0.438857,0.646852,0.537207,0.644369,0.716629,0.643785,0,0.043843,0.268097,0.288004,0.26093,0.242082
0.353937,0.313302,0.327344,0.366215,0.36332,0,0.088398,0.323348,0.53264,0.442559,0.39489,0.444092,0.447777,0.452578,0.449483,0.081784,0.093444,0.155075,0.15224,0.104933,0.076848,0.096016,0.125029,0.117214,0.103153,0.562064,0.542868,0.542797,0.514969,0.455323,0.536686,0.423366,0.469687,0.464846,0.40276,0.49859,0.420693,0.397559,0.433883,0.410469,0.600554,0.690439,0.688853,0.715521,0.727033,0,0.091404,0.330299,0.415953,0.409346,0.367234,0.333984,0.343656,0.349125,0.348896,0,0.085791,0.319018,0.499521,0.420583,0.399406,0.470374,0.453936,0.453432,0.452788,0.087322,0.102124,0.140395,0.14996,0.132431,0.10315,0.120318,0.139157,0.141602,0.120488,0.553985,0.537082,0.537042,0.496142,0.442452,0.518969,0.406145,0.435429,0.451013,0.387651,0.470066,0.414725,0.375839,0.390802,0.3696,0.630596,0.681243,0.678353,0.712858,0.719949,0,0.08435,0.352168,0.360896,0.398336,0.38639,0.348373,0.345545,0.338008,0.333094,0,0.057292,0.30358,0.495292,0.412276,0.379258,0.496509,0.489751,0.455943,0.456391,0.086833,0.112956,0.127675,0.139286,0.145187,0.145456,0.137849,0.153038,0.156703,0.133798,0.566684,0.538635,0.538743,0.4926,0.433598,0.545454,0.407683,0.448222,0.474234,0.404335,0.506028,0.428355,0.372852,0.409091,0.38576,0.689243,0.640594,0.633681,0.716962,0.717036,0,0.070956,0.331329,0.35231,0.384159,0.402179,0.347686,0.350145,0.337295,0.332956,0,0.055556,0.291797,0.485267,0.397447,0.390074,0.491953,0.505459,0.466026,0.458335,0.100188,0.111072,0.124394,0.143574,0.150843,0.170988,0.158875,0.171686,0.160066,0.132095,0.56336,0.532444,0.532551,0.482535,0.446755,0.545873,0.395517,0.467915,0.506053,0.399109,0.49721,0.416622,0.36708,0.427008,0.414492,0.709466,0.68852,0.668895,0.679168,0.68048,0,0.061567,0.268633,0.295517,0.289612,0.361823
0.404384,0.409228,0.431898,0.488931,0.489341,0,0.088398,0.323348,0.522233,0.43794,0.438176,0.433487,0.410379,0.398332,0.419222,0.169543,0.189985,0.226732,0.249461,0.230486,0.113103,0.145288,0.192614,0.199903,0.186732,0.612169,0.609112,0.609035,0.635742,0.632511,0.569942,0.467409,0.500964,0.539211,0.55853,0.503521,0.465435,0.441531,0.485409,0.489698,0.732472,0.707368,0.709539,0.729458,0.727155,0,0.085963,0.317295,0.405683,0.398598,0.402704,0.426236,0.442344,0.476716,0.484513,0,0.08311,0.319018,0.489933,0.404135,0.435451,0.445994,0.406637,0.384675,0.408549,0.171546,0.185896,0.220466,0.249896,0.219617,0.114105,0.148443,0.19408,0.214506,0.185934,0.588653,0.589715,0.589676,0.610867,0.617817,0.532675,0.448737,0.472569,0.539688,0.531364,0.466323,0.442085,0.412668,0.446079,0.451597,0.722688,0.694157,0.691396,0.695083,0.693568,0,0.081301,0.34297,0.342985,0.375693,0.425885,0.454936,0.456136,0.475816,0.470067,0,0.057292,0.30358,0.480226,0.396063,0.426297,0.453267,0.441587,0.382151,0.405618,0.188527,0.199693,0.226304,0.237405,0.181273,0.149629,0.165129,0.196115,0.21188,0.170433,0.577554,0.606366,0.606443,0.617551,0.596281,0.556027,0.464998,0.51318,0.567323,0.546034,0.465884,0.46071,0.424994,0.482487,0.47984,0.680517,0.637537,0.635276,0.699138,0.693493,0,0.063387,0.316897,0.334433,0.361288,0.456423,0.581548,0.60337,0.556974,0.537858,0,0.032828,0.221825,0.422652,0.340349,0.412741,0.43758,0.441181,0.383153,0.399408,0.197184,0.221881,0.239985,0.208665,0.114393,0.189577,0.181215,0.192032,0.174044,0.116794,0.598293,0.652417,0.652461,0.659009,0.617875,0.615125,0.513723,0.5688,0.606101,0.573193,0.493017,0.522181,0.471205,0.531322,0.531344,0.648537,0.430481,0.434299,0.534911,0.523831,0,0.030784,0.171582,0.241923,0.228052,0.367952
0.487126,0.454569,0.427003,0.340272,0.322598,0,0.060773,0.267871,0.521287,0.441404,0.529469,0.576862,0.597346,0.599849,0.601557,0.077223,0.070829,0.075109,0.06975,0.075562,0.075163,0.106398,0.160566,0.176478,0.173827,0.673565,0.630152,0.630124,0.514692,0.41507,0.657127,0.476565,0.427102,0.436044,0.384303,0.61222,0.520387,0.438349,0.394344,0.378374,0.5446,0.328113,0.340008,0.583216,0.663425,0,0.040261,0.247724,0.402944,0.408411,0.488064,0.41055,0.388386,0.317991,0.313698,0,0.0563,0.306748,0.509108,0.428806,0.556892,0.607982,0.609734,0.601605,0.609241,0.067514,0.085328,0.086569,0.086228,0.104866,0.084537,0.125522,0.169621,0.178585,0.161587,0.638939,0.599147,0.599091,0.491212,0.4123,0.618169,0.451437,0.407685,0.433839,0.374475,0.598836,0.492681,0.410678,0.363904,0.349559,0.510468,0.503265,0.533637,0.70907,0.714134,0,0.056911,0.321945,0.367463,0.408041,0.44793,0.404209,0.36818,0.308767,0.302458,0,0.057292,0.30509,0.504708,0.42154,0.572301,0.628582,0.642044,0.610546,0.614786,0.08583,0.083042,0.082289,0.090397,0.121131,0.110468,0.160938,0.174462,0.170017,0.156771,0.615307,0.583242,0.583366,0.482497,0.390688,0.604664,0.445769,0.440028,0.464119,0.378555,0.588867,0.482139,0.400752,0.397186,0.373677,0.570486,0.532548,0.575837,0.719609,0.711664,0,0.051088,0.324113,0.359461,0.394324,0.402569,0.355996,0.342343,0.327451,0.313261,0,0.055556,0.296263,0.47698,0.39073,0.593474,0.640016,0.648882,0.622777,0.62706,0.088558,0.069459,0.080805,0.100857,0.125978,0.150362,0.176174,0.171445,0.156414,0.13812,0.591759,0.555829,0.555907,0.482587,0.420918,0.580654,0.420273,0.476303,0.500186,0.384331,0.549935,0.446712,0.387961,0.429435,0.411583,0.682313,0.667525,0.673139,0.620636,0.63701,0,0.053172,0.272922,0.292512,0.287163,0.322361
0.275602,0.275199,0.275809,0.258226,0.256223,0,0.088398,0.323348,0.543046,0.455259,0.731219,0.753619,0.761065,0.763466,0.769521,0.101299,0.100205,0.086831,0.092941,0.093858,0.118418,0.130679,0.139182,0.127982,0.123168,0.454196,0.459282,0.459249,0.42983,0.404308,0.439048,0.353746,0.351527,0.347191,0.376172,0.377134,0.347866,0.311647,0.309867,0.301628,0.688766,0.656224,0.656669,0.665395,0.661634,0,0.085963,0.330299,0.427593,0.423364,0.282807,0.303553,0.298605,0.273403,0.268472,0,0.080429,0.319018,0.509108,0.422932,0.735754,0.759344,0.760795,0.755295,0.769628,0.133608,0.09082,0.099323,0.113968,0.088522,0.115598,0.151356,0.133218,0.137092,0.104339,0.472965,0.48361,0.483579,0.42923,0.410142,0.455175,0.354606,0.335773,0.350288,0.377216,0.37195,0.370297,0.311175,0.289731,0.285661,0.682199,0.667465,0.653484,0.654235,0.652497,0,0.08435,0.350854,0.365672,0.404344,0.345171,0.304613,0.298231,0.278316,0.26266,0,0.057292,0.30358,0.498117,0.412276,0.735345,0.775435,0.777093,0.760114,0.769657,0.122571,0.100083,0.118909,0.107242,0.086894,0.160953,0.155848,0.146837,0.129568,0.096964,0.506521,0.487844,0.48793,0.433953,0.390021,0.495559,0.360266,0.36963,0.37654,0.38421,0.412922,0.385694,0.319641,0.319095,0.307451,0.63974,0.655179,0.625794,0.65462,0.6499,0,0.070956,0.33193,0.35396,0.390936,0.455079,0.302296,0.30691,0.276771,0.256483,0,0.055556,0.293286,0.485267,0.397447,0.748063,0.7794,0.779575,0.76675,0.779822,0.110416,0.110516,0.119433,0.101496,0.088418,0.159357,0.156874,0.149969,0.111044,0.090137,0.50625,0.478514,0.478596,0.436049,0.402909,0.492003,0.353662,0.403963,0.410352,0.378884,0.451851,0.370378,0.319889,0.345682,0.342553,0.54364,0.658973,0.642402,0.621882,0.623949,0,0.061567,0.267024,0.298272,0.295558,0.37928
0.233658,0.231983,0.249089,0.287051,0.29189,0,0.088398,0.323348,0.543046,0.455259,0.755008,0.731368,0.707339,0.648105,0.615472,0.074721,0.093283,0.12247,0.122315,0.114607,0.063437,0.071417,0.082958,0.107473,0.112491,0.416118,0.388272,0.388237,0.420925,0.432121,0.385103,0.322909,0.39346,0.394689,0.386725,0.347111,0.287203,0.292905,0.356695,0.341828,0.673833,0.6184,0.627551,0.670911,0.67718,0,0.085963,0.331599,0.423827,0.418224,0.233271,0.25554,0.274206,0.284997,0.291573,0,0.085791,0.319018,0.509108,0.433506,0.7472,0.72358,0.696296,0.632836,0.602236,0.077907,0.108758,0.127996,0.129513,0.118822,0.050746,0.08124,0.084161,0.112321,0.111747,0.412142,0.375822,0.375766,0.410062,0.427298,0.374842,0.317268,0.35997,0.383974,0.375412,0.334599,0.282014,0.281242,0.316385,0.309547,0.671944,0.614989,0.619874,0.65811,0.667748,0,0.085366,0.350854,0.364776,0.40573,0.254636,0.277896,0.286214,0.288176,0.28984,0,0.057292,0.30358,0.50565,0.425014,0.741775,0.72341,0.704319,0.626949,0.593293,0.101477,0.131756,0.132605,0.133984,0.127692,0.058978,0.091925,0.089511,0.117103,0.122886,0.417212,0.377391,0.377452,0.419306,0.408962,0.386004,0.321206,0.386639,0.411138,0.383952,0.347598,0.288039,0.281321,0.343555,0.33053,0.644325,0.601758,0.59242,0.661583,0.66926,0,0.070956,0.33193,0.354235,0.390936,0.275233,0.293796,0.305392,0.310326,0.311446,0,0.055556,0.296263,0.493554,0.400806,0.734515,0.709561,0.688647,0.611436,0.578332,0.118573,0.13348,0.129795,0.140152,0.130723,0.068716,0.0814,0.083245,0.10535,0.113117,0.410024,0.37075,0.370804,0.448688,0.453896,0.377339,0.313462,0.433134,0.473682,0.404896,0.344714,0.272868,0.279512,0.391196,0.38854,0.637506,0.611004,0.617617,0.640675,0.655638,0,0.061567,0.269169,0.298022,0.295208,0.380585
