dlwrf_s1_1,dlwrf_s2_1,dlwrf_s3_1,dlwrf_s4_1,dlwrf_s5_1,dswrf_s1_1,dswrf_s2_1,dswrf_s3_1,dswrf_s4_1,dswrf_s5_1,pres_ms1_1,pres_ms2_1,pres_ms3_1,pres_ms4_1,pres_ms5_1,pwat_ea1_1,pwat_ea2_1,pwat_ea3_1,pwat_ea4_1,pwat_ea5_1,spfh_2m1_1,spfh_2m2_1,spfh_2m3_1,spfh_2m4_1,spfh_2m5_1,tmin_2m1_1,tmin_2m2_1,tmin_2m3_1,tmin_2m4_1,tmin_2m5_1,tmp_sfc1_1,tmp_sfc2_1,tmp_sfc3_1,tmp_sfc4_1,tmp_sfc5_1,ulwrf_s1_1,ulwrf_s2_1,ulwrf_s3_1,ulwrf_s4_1,ulwrf_s5_1,ulwrf_t1_1,ulwrf_t2_1,ulwrf_t3_1,ulwrf_t4_1,ulwrf_t5_1,uswrf_s1_1,uswrf_s2_1,uswrf_s3_1,uswrf_s4_1,uswrf_s5_1,dlwrf_s1_2,dlwrf_s2_2,dlwrf_s3_2,dlwrf_s4_2,dlwrf_s5_2,dswrf_s1_2,dswrf_s2_2,dswrf_s3_2,dswrf_s4_2,dswrf_s5_2,pres_ms1_2,pres_ms2_2,pres_ms3_2,pres_ms4_2,pres_ms5_2,pwat_ea1_2,pwat_ea2_2,pwat_ea3_2,pwat_ea4_2,pwat_ea5_2,spfh_2m1_2,spfh_2m2_2,spfh_2m3_2,spfh_2m4_2,spfh_2m5_2,tmin_2m1_2,tmin_2m2_2,tmin_2m3_2,tmin_2m4_2,tmin_2m5_2,tmp_sfc1_2,tmp_sfc2_2,tmp_sfc3_2,tmp_sfc4_2,tmp_sfc5_2,ulwrf_s1_2,ulwrf_s2_2,ulwrf_s3_2,ulwrf_s4_2,ulwrf_s5_2,ulwrf_t1_2,ulwrf_t2_2,ulwrf_t3_2,ulwrf_t4_2,ulwrf_t5_2,uswrf_s1_2,uswrf_s2_2,uswrf_s3_2,uswrf_s4_2,uswrf_s5_2,dlwrf_s1_3,dlwrf_s2_3,dlwrf_s3_3,dlwrf_s4_3,dlwrf_s5_3,dswrf_s1_3,dswrf_s2_3,dswrf_s3_3,dswrf_s4_3,dswrf_s5_3,pres_ms1_3,pres_ms2_3,pres_ms3_3,pres_ms4_3,pres_ms5_3,pwat_ea1_3,pwat_ea2_3,pwat_ea3_3,pwat_ea4_3,pwat_ea5_3,spfh_2m1_3,spfh_2m2_3,spfh_2m3_3,spfh_2m4_3,spfh_2m5_3,tmin_2m1_3,tmin_2m2_3,tmin_2m3_3,tmin_2m4_3,tmin_2m5_3,tmp_sfc1_3,tmp_sfc2_3,tmp_sfc3_3,tmp_sfc4_3,tmp_sfc5_3,ulwrf_s1_3,ulwrf_s2_3,ulwrf_s3_3,ulwrf_s4_3,ulwrf_s5_3,ulwrf_t1_3,ulwrf_t2_3,ulwrf_t3_3,ulwrf_t4_3,ulwrf_t5_3,uswrf_s1_3,uswrf_s2_3,uswrf_s3_3,uswrf_s4_3,uswrf_s5_3,dlwrf_s1_4,dlwrf_s2_4,dlwrf_s3_4,dlwrf_s4_4,dlwrf_s5_4,dswrf_s1_4,dswrf_s2_4,dswrf_s3_4,dswrf_s4_4,dswrf_s5_4,pres_ms1_4,pres_ms2_4,pres_ms3_4,pres_ms4_4,pres_ms5_4,pwat_ea1_4,pwat_ea2_4,pwat_ea3_4,pwat_ea4_4,pwat_ea5_4,spfh_2m1_4,spfh_2m2_4,spfh_2m3_4,spfh_2m4_4,spfh_2m5_4,tmin_2m1_4,tmin_2m2_4,tmin_2m3_4,tmin_2m4_4,tmin_2m5_4,tmp_sfc1_4,tmp_sfc2_4,tmp_sfc3_4,tmp_sfc4_4,tmp_sfc5_4,ulwrf_s1_4,ulwrf_s2_4,ulwrf_s3_4,ulwrf_s4_4,ulwrf_s5_4,ulwrf_t1_4,ulwrf_t2_4,ulwrf_t3_4,ulwrf_t4_4,ulwrf_t5_4,uswrf_s1_4,uswrf_s2_4,uswrf_s3_4,uswrf_s4_4,uswrf_s5_4,salida
0.731264,0.754556,0.764219,0.658492,0.610498,0,0.162983,0.199715,0.366131,0.36774,0.399277,0.394831,0.402054,0.414175,0.42759,0.414738,0.431066,0.451893,0.425599,0.386134,0.610471,0.577192,0.576296,0.540618,0.483739,0.67892,0.681916,0.681868,0.524993,0.513302,0.710861,0.571511,0.387612,0.401622,0.511436,0.636359,0.601473,0.485005,0.345528,0.366328,0.79279,0.742668,0.712075,0.647028,0.667039,0,0.139282,0.1658,0.252653,0.311682,0.713419,0.774755,0.763884,0.631361,0.606542,0,0.120643,0.199387,0.331735,0.315672,0.438159,0.447085,0.436029,0.43614,0.445776,0.484874,0.480139,0.475315,0.45697,0.44,0.571212,0.542007,0.50712,0.500416,0.463162,0.674427,0.679953,0.678957,0.508461,0.511474,0.694144,0.551169,0.374826,0.401065,0.50372,0.614834,0.598955,0.466994,0.326972,0.345831,0.701253,0.507552,0.443762,0.475156,0.529839,0,0.095528,0.166229,0.204179,0.262477,0.686403,0.752911,0.730775,0.631863,0.613266,0,0.101563,0.179731,0.286252,0.257209,0.4673,0.492511,0.49825,0.464615,0.460402,0.503661,0.490931,0.505336,0.489393,0.505521,0.575743,0.541076,0.492622,0.491161,0.488386,0.683213,0.68549,0.685613,0.506944,0.491415,0.706197,0.562239,0.411529,0.422858,0.515491,0.629395,0.607973,0.474859,0.355442,0.366084,0.532254,0.236604,0.184041,0.299513,0.366051,0,0.067171,0.137703,0.166667,0.199068,0.640869,0.725885,0.73339,0.661995,0.656123,0,0.136364,0.20396,0.18232,0.146328,0.49546,0.521026,0.538859,0.507637,0.489191,0.441645,0.460816,0.500239,0.534949,0.536599,0.572045,0.531046,0.493362,0.480478,0.473489,0.687901,0.686944,0.687093,0.505656,0.503561,0.701833,0.576855,0.457449,0.436117,0.511859,0.620228,0.599697,0.492929,0.372193,0.38897,0.546015,0.243375,0.204615,0.145996,0.206537,0,0.100746,0.136193,0.078638,0.072403,0.078351
0.339087,0.299239,0.303305,0.300731,0.300569,0,0.118785,0.358218,0.522233,0.417273,0.596095,0.623915,0.626489,0.637651,0.654142,0.126459,0.113874,0.124805,0.142928,0.155129,0.196016,0.178632,0.165931,0.186272,0.194247,0.510722,0.499579,0.49966,0.460749,0.398726,0.492437,0.38508,0.36247,0.345621,0.363117,0.442346,0.385591,0.338066,0.313747,0.300877,0.735857,0.696996,0.694172,0.688952,0.684154,0,0.133841,0.360208,0.420062,0.397664,0.33233,0.310882,0.318141,0.306697,0.311415,0,0.115282,0.352761,0.488015,0.39086,0.605004,0.63455,0.618237,0.625843,0.644538,0.125173,0.111202,0.134446,0.162698,0.177103,0.164153,0.169062,0.159685,0.190883,0.193466,0.51078,0.494091,0.494221,0.455718,0.405148,0.482045,0.371159,0.337211,0.350483,0.361446,0.421078,0.381959,0.322734,0.289068,0.28191,0.726934,0.702288,0.690229,0.676339,0.675573,0,0.118902,0.386991,0.360896,0.381701,0.352114,0.310979,0.313534,0.303303,0.302176,0,0.085938,0.336807,0.483051,0.384134,0.604648,0.644414,0.634326,0.620939,0.643394,0.121775,0.118319,0.139029,0.159952,0.18606,0.167533,0.171106,0.158325,0.18689,0.192455,0.51036,0.48984,0.489955,0.456095,0.3903,0.489227,0.374233,0.364068,0.376743,0.373674,0.442247,0.383705,0.32172,0.314565,0.30162,0.694164,0.682843,0.658648,0.678228,0.673344,0,0.112583,0.362598,0.35066,0.367641,0.35709,0.311331,0.315203,0.293863,0.290581,0,0.083333,0.31264,0.470534,0.37013,0.608513,0.644665,0.644143,0.625476,0.644654,0.112632,0.114349,0.131048,0.155708,0.179938,0.172915,0.160024,0.146643,0.157166,0.157382,0.505763,0.490449,0.49054,0.446445,0.415018,0.490887,0.368937,0.38725,0.402122,0.383888,0.441953,0.377198,0.319448,0.332144,0.333573,0.68445,0.685718,0.670633,0.63909,0.641282,0,0.092351,0.296515,0.295517,0.27737,0.35862
0.373851,0.36134,0.373065,0.402984,0.407582,0,0.088398,0.323348,0.543046,0.457799,0.574449,0.573451,0.554303,0.550322,0.557563,0.117274,0.122264,0.141174,0.159567,0.16225,0.309221,0.306549,0.355672,0.392812,0.393622,0.519516,0.514725,0.514687,0.512546,0.502618,0.497266,0.388289,0.408087,0.429095,0.452147,0.441992,0.390627,0.356172,0.380877,0.378126,0.68898,0.646492,0.675809,0.713603,0.695835,0,0.077258,0.320546,0.417665,0.41215,0.383522,0.387938,0.400246,0.398307,0.404797,0,0.0563,0.314417,0.505273,0.424107,0.568166,0.57205,0.545484,0.536708,0.54776,0.133873,0.121699,0.135251,0.162505,0.174132,0.271295,0.258361,0.293405,0.352078,0.35241,0.503077,0.50681,0.506736,0.512279,0.486587,0.454738,0.364553,0.378324,0.418679,0.423871,0.388072,0.368436,0.324217,0.343293,0.341317,0.637387,0.588846,0.592197,0.638389,0.610232,0,0.066057,0.322602,0.35194,0.384011,0.414922,0.429935,0.442964,0.424945,0.425798,0,0.057292,0.267331,0.475518,0.394325,0.551369,0.57083,0.563356,0.531542,0.535533,0.172844,0.157962,0.151006,0.14207,0.150475,0.251522,0.238741,0.271583,0.320017,0.326352,0.506805,0.523541,0.523633,0.533507,0.47018,0.466232,0.382667,0.413428,0.459487,0.431814,0.384381,0.382209,0.333978,0.381108,0.371041,0.55026,0.460191,0.386858,0.528735,0.482784,0,0.040681,0.256164,0.322607,0.342228,0.453308,0.476181,0.49472,0.478391,0.480668,0,0.05303,0.23969,0.421731,0.33811,0.527234,0.559198,0.565408,0.532374,0.53071,0.237006,0.24205,0.223556,0.216468,0.216341,0.259404,0.245359,0.279528,0.310342,0.293752,0.545054,0.565925,0.566044,0.536387,0.481291,0.522333,0.405845,0.436111,0.484437,0.434827,0.426247,0.41727,0.355885,0.396915,0.397666,0.518845,0.468606,0.415497,0.352218,0.303859,0,0.045709,0.245576,0.280741,0.254984,0.329705
0.611421,0.585185,0.612725,0.651768,0.657921,0,0.417127,0.635441,0.751183,0.662048,0.423006,0.410934,0.385048,0.377033,0.374868,0.357463,0.352166,0.372578,0.405129,0.442197,0.516689,0.555024,0.596219,0.576182,0.554184,0.695911,0.692469,0.692786,0.709384,0.707485,0.700686,0.674982,0.600965,0.609361,0.677917,0.652954,0.633376,0.607352,0.575077,0.585401,0.427267,0.572173,0.611926,0.677159,0.63707,0,0.402612,0.555917,0.527559,0.552336,0.592465,0.595269,0.621288,0.634054,0.647691,0,0.402145,0.629448,0.731544,0.645912,0.436643,0.436413,0.392557,0.372758,0.372536,0.384501,0.354464,0.369284,0.404818,0.442758,0.444568,0.514798,0.553691,0.571953,0.549411,0.678738,0.682697,0.682368,0.694678,0.713538,0.667992,0.664575,0.594276,0.633021,0.670102,0.613398,0.623372,0.591575,0.555961,0.570525,0.486366,0.536335,0.596024,0.690318,0.651459,0,0.384146,0.598555,0.465075,0.549908,0.57134,0.576881,0.599073,0.628497,0.638408,0,0.382813,0.61758,0.729755,0.642733,0.445467,0.46403,0.436157,0.380997,0.377079,0.422063,0.410713,0.41757,0.435696,0.4924,0.410865,0.478745,0.526544,0.560136,0.581198,0.649234,0.65042,0.650462,0.688312,0.692216,0.643072,0.660014,0.624686,0.674234,0.674818,0.600252,0.603076,0.575737,0.592559,0.606004,0.711511,0.65296,0.657322,0.740905,0.704314,0,0.389782,0.577871,0.454895,0.539178,0.613809,0.629689,0.651079,0.670165,0.654059,0,0.34596,0.578681,0.694291,0.613636,0.443421,0.455966,0.452191,0.410886,0.405133,0.433938,0.430462,0.444844,0.486442,0.498253,0.422475,0.458963,0.497493,0.508587,0.523383,0.663368,0.663182,0.66323,0.692104,0.669136,0.665098,0.634119,0.67417,0.723976,0.644688,0.598298,0.590452,0.57465,0.650587,0.650551,0.577146,0.621772,0.643894,0.672398,0.676814,0,0.324627,0.462198,0.374405,0.409934,0.547786
0.22702,0.26576,0.280727,0.343419,0.367122,0,0.127072,0.411,0.655629,0.586191,0.622474,0.576491,0.536157,0.49791,0.502182,0.111183,0.149525,0.182641,0.210511,0.204581,0.159927,0.138599,0.20414,0.304518,0.314625,0.375057,0.378785,0.378784,0.41521,0.429074,0.365153,0.308217,0.343862,0.38534,0.443672,0.301388,0.290149,0.269969,0.324523,0.335762,0.611065,0.514453,0.56202,0.659424,0.655139,0,0.129489,0.386866,0.471414,0.498598,0.196209,0.247614,0.274931,0.318932,0.349454,0,0.115282,0.410123,0.635666,0.566729,0.635105,0.600507,0.545816,0.497684,0.491821,0.093305,0.152459,0.173703,0.202152,0.195212,0.140096,0.148713,0.178832,0.25959,0.271683,0.312238,0.329353,0.329355,0.396244,0.421875,0.302144,0.270346,0.314836,0.378233,0.416796,0.233791,0.247587,0.23249,0.290332,0.305985,0.588756,0.575067,0.59776,0.652276,0.655194,0,0.140244,0.420499,0.414925,0.495379,0.18257,0.227724,0.253819,0.293386,0.302446,0,0.114583,0.400242,0.629944,0.567226,0.650139,0.626829,0.579057,0.49724,0.4879,0.088731,0.159366,0.176302,0.169802,0.158192,0.121693,0.144289,0.184601,0.233946,0.246252,0.276135,0.284573,0.284634,0.365599,0.377916,0.275343,0.252478,0.31764,0.374192,0.376133,0.213257,0.223966,0.208454,0.290282,0.296617,0.585681,0.602298,0.58636,0.630217,0.637296,0,0.133396,0.40469,0.408141,0.493435,0.194,0.223753,0.252022,0.276858,0.275467,0,0.111111,0.38276,0.617864,0.552172,0.639515,0.614012,0.568728,0.49567,0.493966,0.07524,0.148203,0.155035,0.134056,0.11674,0.113324,0.131596,0.193238,0.208183,0.197307,0.280357,0.280294,0.280343,0.356111,0.350979,0.27587,0.228589,0.309237,0.378834,0.295783,0.215135,0.212212,0.188303,0.286529,0.295389,0.602336,0.620065,0.602546,0.577873,0.592129,0,0.164179,0.484182,0.469321,0.489332,0.322974
0.368976,0.410487,0.433823,0.388145,0.354749,0,0.088398,0.266286,0.473037,0.388292,0.428311,0.412943,0.412432,0.397016,0.428086,0.178182,0.187179,0.210879,0.1408,0.132035,0.255314,0.267485,0.284205,0.250715,0.235305,0.500951,0.503196,0.503312,0.472935,0.440517,0.490064,0.389871,0.344662,0.357372,0.398604,0.418073,0.392076,0.33484,0.312287,0.307598,0.438402,0.25791,0.233068,0.48528,0.595543,0,0.0642,0.223667,0.368025,0.363084,0.377552,0.452457,0.478,0.36458,0.347205,0,0.085791,0.228528,0.463087,0.374765,0.427704,0.422315,0.403665,0.37458,0.419768,0.156531,0.165727,0.179125,0.156828,0.140412,0.233425,0.239316,0.228353,0.232766,0.209651,0.495707,0.503656,0.503666,0.472645,0.442452,0.477804,0.382775,0.32435,0.366125,0.394542,0.395618,0.393124,0.32176,0.298127,0.294102,0.414076,0.216702,0.192153,0.576362,0.636152,0,0.058943,0.197109,0.335224,0.362754,0.413117,0.478133,0.48525,0.336505,0.318824,0,0.057292,0.22051,0.468927,0.370585,0.41204,0.436389,0.428057,0.373389,0.415872,0.158167,0.17984,0.184796,0.162542,0.134309,0.232203,0.228247,0.214971,0.212203,0.193165,0.496674,0.504463,0.504635,0.459462,0.401939,0.487186,0.39316,0.362476,0.384246,0.387835,0.405047,0.399774,0.325745,0.325088,0.309407,0.332764,0.230336,0.182685,0.63623,0.656485,0,0.041627,0.185207,0.339934,0.35917,0.418285,0.473425,0.467395,0.311705,0.30075,0,0.055556,0.226291,0.461326,0.36386,0.397532,0.4324,0.442766,0.389664,0.419782,0.151743,0.162782,0.163311,0.172646,0.153941,0.227611,0.204176,0.18246,0.200041,0.197909,0.501452,0.499594,0.499656,0.432531,0.405763,0.491452,0.378378,0.385251,0.403192,0.37721,0.411646,0.388317,0.321003,0.337251,0.331799,0.36302,0.24418,0.249392,0.611217,0.624933,0,0.034515,0.17319,0.290258,0.272823,0.242339
0.262572,0.243394,0.261413,0.293058,0.297636,0,0.270718,0.565383,0.798486,0.74645,0.385096,0.400082,0.402061,0.40787,0.428305,0.042913,0.042816,0.062776,0.08018,0.094918,0.133795,0.146252,0.138471,0.143392,0.17871,0.497526,0.493935,0.493964,0.506232,0.492895,0.469003,0.418331,0.417565,0.442377,0.477537,0.411092,0.382347,0.362695,0.388369,0.396457,0.711529,0.672501,0.674939,0.687769,0.695724,0,0.301415,0.524707,0.557001,0.627103,0.263045,0.267676,0.2852,0.313814,0.337745,0,0.262735,0.552607,0.763183,0.700658,0.379705,0.422135,0.403089,0.406481,0.43422,0.055165,0.064106,0.09137,0.111349,0.12228,0.125466,0.144268,0.16516,0.160269,0.218508,0.484434,0.476542,0.476423,0.475715,0.480452,0.45194,0.398283,0.393052,0.451946,0.46628,0.396118,0.374371,0.339628,0.365391,0.374216,0.718651,0.686605,0.671819,0.638489,0.588435,0,0.285569,0.555191,0.48,0.584566,0.287574,0.290382,0.301237,0.307544,0.323134,0,0.229167,0.537381,0.755179,0.697742,0.367539,0.438077,0.439426,0.411652,0.432967,0.097365,0.097617,0.104411,0.115826,0.133902,0.147023,0.16044,0.161256,0.158707,0.207078,0.463808,0.457135,0.457346,0.475832,0.461588,0.442813,0.411992,0.438988,0.483159,0.472039,0.404692,0.369215,0.345706,0.402052,0.403541,0.683671,0.666918,0.650816,0.686934,0.629873,0,0.265847,0.523752,0.470847,0.576451,0.321644,0.316809,0.326169,0.310632,0.310441,0,0.222222,0.513473,0.73849,0.68249,0.35279,0.427161,0.45828,0.423663,0.437868,0.131789,0.130919,0.132629,0.133445,0.138899,0.165163,0.155597,0.15368,0.163733,0.163787,0.478069,0.475576,0.475506,0.46299,0.478904,0.463235,0.422151,0.458105,0.498926,0.471224,0.407455,0.37843,0.353949,0.413412,0.42412,0.644086,0.66462,0.66526,0.66468,0.663559,0,0.245336,0.436461,0.398698,0.456104,0.589008
0.523528,0.574871,0.547159,0.420844,0.413297,0,0.381215,0.596767,0.931883,0.921372,0.552659,0.570822,0.55754,0.549687,0.571364,0.297566,0.244294,0.233229,0.223673,0.202886,0.247662,0.23977,0.286041,0.314812,0.287454,0.510128,0.518152,0.518198,0.478756,0.491234,0.544943,0.461973,0.41655,0.452897,0.549553,0.470545,0.46158,0.404311,0.401196,0.416094,0.577229,0.428949,0.441705,0.63071,0.675009,0,0.282916,0.454486,0.600822,0.721963,0.557646,0.533919,0.507292,0.398027,0.396453,0,0.509383,0.760429,0.946309,0.933741,0.582227,0.601942,0.576562,0.570873,0.58499,0.235891,0.214638,0.229121,0.217768,0.173766,0.221371,0.230609,0.265062,0.277816,0.242734,0.484598,0.492611,0.492446,0.492977,0.517141,0.501945,0.4739,0.429005,0.462606,0.546406,0.43292,0.451549,0.40768,0.383359,0.400352,0.44321,0.384007,0.454791,0.674376,0.696081,0,0.398374,0.641261,0.550448,0.74353,0.470983,0.458849,0.437633,0.384128,0.381026,0,0.653646,0.848361,0.951977,0.938969,0.604478,0.62389,0.620433,0.592716,0.583546,0.212673,0.216642,0.214461,0.190543,0.165034,0.227346,0.230095,0.246266,0.247985,0.245316,0.451697,0.458512,0.458893,0.509183,0.521386,0.466847,0.50384,0.474104,0.509327,0.574618,0.40199,0.447634,0.416338,0.426755,0.442146,0.466273,0.467143,0.533431,0.701414,0.71857,0,0.571429,0.726999,0.543729,0.731893,0.37848,0.401646,0.409948,0.392218,0.392173,0,0.752525,0.877326,0.941068,0.920399,0.634076,0.63497,0.641488,0.607807,0.585986,0.20654,0.203133,0.191074,0.179759,0.184045,0.230681,0.221303,0.221566,0.22374,0.217278,0.442204,0.44968,0.449841,0.533454,0.553057,0.452322,0.519847,0.536551,0.577634,0.588462,0.372355,0.441308,0.431849,0.489684,0.509307,0.618738,0.611421,0.645774,0.687735,0.708136,0,0.70709,0.675067,0.471325,0.576076,0.391558
0.582732,0.571693,0.611899,0.63975,0.637985,0,0.634807,0.795372,0.897824,0.864219,0.542631,0.550472,0.548178,0.548557,0.546384,0.284135,0.260596,0.287194,0.330168,0.352105,0.400498,0.433292,0.438668,0.424941,0.440319,0.72605,0.72626,0.726169,0.763253,0.764466,0.710375,0.798009,0.687153,0.674573,0.757332,0.683301,0.73074,0.721995,0.65962,0.668789,0.779791,0.777329,0.801036,0.809014,0.807133,0,0.647443,0.703511,0.604587,0.703738,0.600262,0.644227,0.678248,0.646078,0.649043,0,0.544236,0.741411,0.871524,0.842575,0.565704,0.578129,0.561083,0.553213,0.55246,0.333561,0.333043,0.367171,0.402715,0.428112,0.362335,0.393511,0.382343,0.388578,0.407964,0.734223,0.738359,0.738287,0.760916,0.781118,0.712051,0.799573,0.682787,0.71031,0.763174,0.693058,0.748393,0.722876,0.645218,0.662001,0.723976,0.622084,0.638657,0.753614,0.772084,0,0.517276,0.686597,0.526866,0.694547,0.625302,0.632723,0.681576,0.718496,0.699834,0,0.541667,0.696269,0.774011,0.755993,0.582316,0.606902,0.605093,0.576301,0.564184,0.369912,0.381801,0.424247,0.453917,0.494769,0.335423,0.398863,0.396677,0.41384,0.475361,0.732836,0.732202,0.732296,0.763991,0.771023,0.716162,0.795905,0.690473,0.717219,0.769604,0.705681,0.743727,0.703157,0.647534,0.668622,0.695702,0.612094,0.50477,0.393873,0.482374,0,0.526017,0.629585,0.458196,0.601017,0.656234,0.640228,0.680695,0.704886,0.701303,0,0.573232,0.738127,0.816759,0.758845,0.593582,0.611338,0.617758,0.591616,0.575452,0.369621,0.365777,0.373796,0.408047,0.423836,0.29994,0.380729,0.4005,0.383132,0.412877,0.798144,0.79379,0.793901,0.790196,0.782223,0.78716,0.786709,0.769378,0.775259,0.771742,0.749278,0.747324,0.727648,0.723952,0.731687,0.690446,0.72858,0.69533,0.512857,0.479506,0,0.565299,0.592493,0.421988,0.473942,0.639611
0.444294,0.471257,0.521774,0.602665,0.610655,0,0.90884,0.944524,0.960265,0.937998,0.594682,0.571201,0.53807,0.514469,0.492136,0.261352,0.281941,0.325458,0.342569,0.325239,0.425971,0.443074,0.493227,0.552509,0.573299,0.541673,0.553083,0.553112,0.612194,0.621852,0.552326,0.667677,0.589793,0.59652,0.6925,0.50127,0.586306,0.58398,0.560337,0.575358,0.765691,0.749739,0.74909,0.693158,0.678566,0,0.884657,0.794538,0.612119,0.721495,0.426977,0.4601,0.506715,0.552151,0.563902,0,0.911528,0.944632,0.957814,0.950775,0.617332,0.599388,0.55099,0.517385,0.496695,0.238035,0.244619,0.279488,0.300198,0.292507,0.383581,0.414155,0.43878,0.491359,0.512583,0.513969,0.532095,0.531478,0.599325,0.62196,0.512517,0.646374,0.570084,0.60913,0.679399,0.465855,0.57247,0.555798,0.528038,0.549376,0.742459,0.741218,0.752665,0.759774,0.762709,0,0.886179,0.865966,0.552836,0.747227,0.423056,0.449268,0.482538,0.530786,0.536736,0,0.901042,0.945628,0.961394,0.956572,0.627719,0.618507,0.588207,0.525174,0.493382,0.233092,0.242634,0.262324,0.261171,0.277512,0.358455,0.406482,0.426177,0.461647,0.488893,0.505489,0.525692,0.525209,0.608552,0.620193,0.509718,0.646107,0.600614,0.645106,0.695369,0.461082,0.571656,0.549034,0.562647,0.582899,0.719942,0.721505,0.717921,0.771157,0.782239,0,0.883633,0.847264,0.548955,0.739094,0.422654,0.459045,0.499907,0.544393,0.545029,0,0.888889,0.931815,0.951197,0.934729,0.631556,0.610688,0.590979,0.52644,0.487395,0.231209,0.249091,0.268365,0.277584,0.282216,0.340303,0.384769,0.422739,0.423687,0.431285,0.523667,0.534145,0.534522,0.643552,0.662414,0.528002,0.634706,0.639133,0.678243,0.694403,0.452858,0.55574,0.54875,0.596072,0.618802,0.707437,0.720046,0.726584,0.728621,0.738086,0,0.852612,0.725469,0.471074,0.577475,0.900939
