dlwrf_s1_1,dlwrf_s2_1,dlwrf_s3_1,dlwrf_s4_1,dlwrf_s5_1,dswrf_s1_1,dswrf_s2_1,dswrf_s3_1,dswrf_s4_1,dswrf_s5_1,pres_ms1_1,pres_ms2_1,pres_ms3_1,pres_ms4_1,pres_ms5_1,pwat_ea1_1,pwat_ea2_1,pwat_ea3_1,pwat_ea4_1,pwat_ea5_1,spfh_2m1_1,spfh_2m2_1,spfh_2m3_1,spfh_2m4_1,spfh_2m5_1,tmin_2m1_1,tmin_2m2_1,tmin_2m3_1,tmin_2m4_1,tmin_2m5_1,tmp_sfc1_1,tmp_sfc2_1,tmp_sfc3_1,tmp_sfc4_1,tmp_sfc5_1,ulwrf_s1_1,ulwrf_s2_1,ulwrf_s3_1,ulwrf_s4_1,ulwrf_s5_1,ulwrf_t1_1,ulwrf_t2_1,ulwrf_t3_1,ulwrf_t4_1,ulwrf_t5_1,uswrf_s1_1,uswrf_s2_1,uswrf_s3_1,uswrf_s4_1,uswrf_s5_1,dlwrf_s1_2,dlwrf_s2_2,dlwrf_s3_2,dlwrf_s4_2,dlwrf_s5_2,dswrf_s1_2,dswrf_s2_2,dswrf_s3_2,dswrf_s4_2,dswrf_s5_2,pres_ms1_2,pres_ms2_2,pres_ms3_2,pres_ms4_2,pres_ms5_2,pwat_ea1_2,pwat_ea2_2,pwat_ea3_2,pwat_ea4_2,pwat_ea5_2,spfh_2m1_2,spfh_2m2_2,spfh_2m3_2,spfh_2m4_2,spfh_2m5_2,tmin_2m1_2,tmin_2m2_2,tmin_2m3_2,tmin_2m4_2,tmin_2m5_2,tmp_sfc1_2,tmp_sfc2_2,tmp_sfc3_2,tmp_sfc4_2,tmp_sfc5_2,ulwrf_s1_2,ulwrf_s2_2,ulwrf_s3_2,ulwrf_s4_2,ulwrf_s5_2,ulwrf_t1_2,ulwrf_t2_2,ulwrf_t3_2,ulwrf_t4_2,ulwrf_t5_2,uswrf_s1_2,uswrf_s2_2,uswrf_s3_2,uswrf_s4_2,uswrf_s5_2,dlwrf_s1_3,dlwrf_s2_3,dlwrf_s3_3,dlwrf_s4_3,dlwrf_s5_3,dswrf_s1_3,dswrf_s2_3,dswrf_s3_3,dswrf_s4_3,dswrf_s5_3,pres_ms1_3,pres_ms2_3,pres_ms3_3,pres_ms4_3,pres_ms5_3,pwat_ea1_3,pwat_ea2_3,pwat_ea3_3,pwat_ea4_3,pwat_ea5_3,spfh_2m1_3,spfh_2m2_3,spfh_2m3_3,spfh_2m4_3,spfh_2m5_3,tmin_2m1_3,tmin_2m2_3,tmin_2m3_3,tmin_2m4_3,tmin_2m5_3,tmp_sfc1_3,tmp_sfc2_3,tmp_sfc3_3,tmp_sfc4_3,tmp_sfc5_3,ulwrf_s1_3,ulwrf_s2_3,ulwrf_s3_3,ulwrf_s4_3,ulwrf_s5_3,ulwrf_t1_3,ulwrf_t2_3,ulwrf_t3_3,ulwrf_t4_3,ulwrf_t5_3,uswrf_s1_3,uswrf_s2_3,uswrf_s3_3,uswrf_s4_3,uswrf_s5_3,dlwrf_s1_4,dlwrf_s2_4,dlwrf_s3_4,dlwrf_s4_4,dlwrf_s5_4,dswrf_s1_4,dswrf_s2_4,dswrf_s3_4,dswrf_s4_4,dswrf_s5_4,pres_ms1_4,pres_ms2_4,pres_ms3_4,pres_ms4_4,pres_ms5_4,pwat_ea1_4,pwat_ea2_4,pwat_ea3_4,pwat_ea4_4,pwat_ea5_4,spfh_2m1_4,spfh_2m2_4,spfh_2m3_4,spfh_2m4_4,spfh_2m5_4,tmin_2m1_4,tmin_2m2_4,tmin_2m3_4,tmin_2m4_4,tmin_2m5_4,tmp_sfc1_4,tmp_sfc2_4,tmp_sfc3_4,tmp_sfc4_4,tmp_sfc5_4,ulwrf_s1_4,ulwrf_s2_4,ulwrf_s3_4,ulwrf_s4_4,ulwrf_s5_4,ulwrf_t1_4,ulwrf_t2_4,ulwrf_t3_4,ulwrf_t4_4,ulwrf_t5_4,uswrf_s1_4,uswrf_s2_4,uswrf_s3_4,uswrf_s4_4,uswrf_s5_4,salida
0.738771,0.458112,0.397101,0.286019,0.283641,0,0.237569,0.536377,0.788079,0.73779,0.235543,0.277073,0.278014,0.299269,0.314658,0.318596,0.135096,0.085093,0.092004,0.094227,0.43564,0.261399,0.194472,0.156299,0.155811,0.581448,0.532251,0.532324,0.482528,0.480546,0.594529,0.42704,0.37669,0.377634,0.454937,0.537823,0.445963,0.378003,0.332391,0.339317,0.400672,0.604536,0.638636,0.675227,0.67092,0,0.250272,0.486996,0.550154,0.619159,0.721614,0.552905,0.467399,0.286689,0.290853,0,0.198391,0.497239,0.763183,0.716753,0.221936,0.276206,0.250221,0.259271,0.279169,0.356016,0.143174,0.090623,0.106772,0.113,0.446775,0.276222,0.181264,0.154593,0.16312,0.568162,0.5443,0.544751,0.471778,0.484212,0.579195,0.421436,0.347965,0.376269,0.449138,0.50185,0.454311,0.364509,0.302345,0.315441,0.347076,0.518753,0.548014,0.672236,0.661846,0,0.193089,0.47569,0.483284,0.613678,0.758183,0.653447,0.540804,0.300471,0.295556,0,0.109375,0.415194,0.742938,0.695657,0.198536,0.268262,0.265995,0.210165,0.215518,0.393717,0.193192,0.113455,0.095798,0.1075,0.457564,0.298202,0.19239,0.145573,0.161548,0.568536,0.554028,0.55404,0.457157,0.466325,0.59224,0.424581,0.368592,0.407846,0.464348,0.511617,0.470181,0.370649,0.332062,0.341054,0.337333,0.366487,0.395682,0.634607,0.643996,0,0.085147,0.36801,0.461771,0.58238,0.756599,0.707164,0.637101,0.41214,0.356171,0,0.040404,0.262319,0.558932,0.566838,0.198481,0.243978,0.259769,0.179452,0.160257,0.38412,0.25053,0.149778,0.100128,0.094504,0.435162,0.315866,0.191492,0.132381,0.125954,0.578717,0.561791,0.56174,0.448857,0.469714,0.601194,0.421581,0.382243,0.449824,0.466255,0.514675,0.467633,0.372167,0.348164,0.376505,0.396145,0.239498,0.328777,0.389875,0.504558,0,0.033582,0.188204,0.290008,0.373207,0.377432
0.857597,0.731275,0.775146,0.807614,0.788906,0,0.245856,0.353463,0.283822,0.239926,0.441641,0.441033,0.436652,0.435006,0.43454,0.569171,0.591205,0.62226,0.621757,0.590763,0.757827,0.704196,0.709596,0.69715,0.670928,0.772747,0.763754,0.763792,0.666523,0.641433,0.785508,0.684702,0.518639,0.489402,0.627642,0.754491,0.683402,0.607458,0.452029,0.470981,0.800338,0.794203,0.770139,0.685177,0.698665,0,0.235038,0.321847,0.201986,0.201869,0.809166,0.77121,0.809142,0.797815,0.773258,0,0.203753,0.312883,0.223394,0.204182,0.454596,0.464885,0.436505,0.42749,0.42867,0.530522,0.560146,0.60013,0.600986,0.573105,0.732424,0.727524,0.690009,0.689765,0.654593,0.747034,0.754107,0.753968,0.663937,0.652962,0.748815,0.656806,0.495264,0.502849,0.61837,0.67412,0.664732,0.573704,0.424233,0.451185,0.815867,0.804704,0.76974,0.676551,0.697411,0,0.208333,0.306176,0.143582,0.176063,0.798705,0.890152,0.875402,0.80855,0.776377,0,0.096354,0.215979,0.212806,0.187609,0.455496,0.484593,0.475404,0.432614,0.421016,0.523168,0.513286,0.547411,0.550452,0.555368,0.719591,0.777375,0.718513,0.713425,0.695056,0.703801,0.751975,0.752135,0.653825,0.637033,0.754635,0.642283,0.515118,0.532485,0.63033,0.647019,0.669682,0.56509,0.452812,0.476419,0.803823,0.778427,0.742146,0.698316,0.713969,0,0.078524,0.191221,0.131463,0.15756,0.755001,0.799884,0.837316,0.847803,0.818358,0,0.15404,0.266488,0.185083,0.150246,0.450674,0.477447,0.482177,0.439153,0.415119,0.539422,0.529978,0.496996,0.545172,0.54011,0.664055,0.743957,0.711025,0.693125,0.66388,0.721908,0.733031,0.733066,0.662738,0.644317,0.73432,0.654638,0.573677,0.566819,0.629997,0.652983,0.645227,0.580266,0.496231,0.519054,0.786488,0.788146,0.76184,0.667826,0.68471,0,0.138993,0.21555,0.089156,0.084995,0.146926
0.220972,0.119623,0.121816,0.152518,0.15492,0,0.234807,0.514028,0.759697,0.706269,0.823235,0.758625,0.711636,0.631525,0.57332,0.144903,0.134954,0.135797,0.123297,0.116312,0.029354,0.025306,0.034307,0.065817,0.090761,0.065499,0.066618,0.066644,0.082076,0.103173,0.094479,0.111769,0.282349,0.225004,0.220723,0.084247,0.080407,0.104252,0.240598,0.204267,0.538116,0.532266,0.533608,0.590621,0.587385,0,0.245919,0.50065,0.562821,0.625701,0.161256,0.111722,0.126917,0.157013,0.160391,0,0.203753,0.505061,0.725791,0.681039,0.835269,0.772604,0.716816,0.632957,0.580874,0.13824,0.133805,0.143511,0.140431,0.12253,0.02107,0.020762,0.023933,0.043922,0.055932,0.042693,0.0479,0.047865,0.062878,0.093543,0.061642,0.108072,0.223175,0.215747,0.212939,0.051309,0.067497,0.093859,0.180272,0.164052,0.470292,0.520809,0.510435,0.530619,0.549632,0,0.230691,0.509855,0.464776,0.588725,0.122318,0.12542,0.139051,0.179595,0.177386,0,0.200521,0.490711,0.69774,0.651419,0.839211,0.782559,0.728063,0.631351,0.574427,0.139331,0.143877,0.157295,0.151187,0.135989,0.027135,0.020961,0.027499,0.039007,0.040976,0.036017,0.040929,0.040946,0.075267,0.088411,0.054492,0.101573,0.201156,0.234636,0.216762,0.038036,0.061018,0.071788,0.184929,0.168571,0.44033,0.510544,0.467847,0.429308,0.45958,0,0.216651,0.480457,0.433443,0.543414,0.127176,0.128391,0.142496,0.202607,0.20809,0,0.194444,0.482507,0.669429,0.606471,0.828943,0.773642,0.725487,0.636021,0.575466,0.126799,0.137656,0.165718,0.182602,0.159677,0.024812,0.029425,0.056094,0.074043,0.070518,0.007944,0.013936,0.013929,0.089011,0.114311,0.012095,0.05574,0.14515,0.192323,0.184099,0.0051,0.028864,0.023626,0.133656,0.145429,0.467886,0.511219,0.482335,0.302644,0.305183,0,0.341418,0.757105,0.721012,0.746415,0.236329
0.735924,0.762861,0.815506,0.837304,0.823237,0,0.722652,0.839436,0.933775,0.925066,0.426205,0.432386,0.426604,0.408905,0.396257,0.431936,0.4437,0.456325,0.447884,0.439436,0.46714,0.465409,0.501757,0.473372,0.455468,0.836448,0.838649,0.838665,0.901366,0.90162,0.823244,0.951148,0.818764,0.811716,0.90631,0.817306,0.907659,0.902827,0.822504,0.840488,0.916228,0.896107,0.912312,0.901687,0.907574,0,0.730141,0.731469,0.613831,0.735047,0.763004,0.795142,0.848456,0.831114,0.82051,0,0.703217,0.831595,0.920422,0.91882,0.450819,0.467068,0.438461,0.412434,0.402234,0.455287,0.451611,0.45295,0.448453,0.450269,0.448971,0.456592,0.499184,0.476077,0.452903,0.850757,0.857469,0.856852,0.898231,0.914208,0.821493,0.964948,0.843644,0.853188,0.905043,0.799847,0.926837,0.922151,0.818892,0.836383,0.928591,0.916581,0.931076,0.918983,0.923809,0,0.720528,0.786465,0.545373,0.742144,0.801753,0.800131,0.832773,0.828433,0.815177,0,0.691927,0.826461,0.915254,0.906891,0.462619,0.499701,0.490927,0.434692,0.414667,0.479886,0.473657,0.463041,0.461062,0.488679,0.518656,0.561456,0.563545,0.519003,0.54423,0.86872,0.872017,0.872676,0.89867,0.901454,0.849634,0.950881,0.855387,0.865781,0.903913,0.826657,0.932051,0.89468,0.82976,0.84744,0.909823,0.905148,0.910074,0.928696,0.931676,0,0.711447,0.763079,0.536579,0.71834,0.814781,0.806286,0.847006,0.823906,0.807638,0,0.687121,0.815543,0.899632,0.880542,0.478443,0.516173,0.52287,0.470833,0.445238,0.435698,0.430999,0.432211,0.462633,0.459638,0.561051,0.612984,0.554478,0.514922,0.52675,0.912383,0.911693,0.91237,0.89164,0.8809,0.895994,0.923691,0.87314,0.874273,0.875661,0.866949,0.916247,0.886845,0.841634,0.852366,0.925515,0.945041,0.940768,0.895765,0.903935,0,0.689366,0.655228,0.459304,0.558587,0.772064
0.469169,0.502342,0.523707,0.526563,0.512575,0,0.303867,0.588683,0.823084,0.77924,0.42025,0.47317,0.50933,0.510303,0.529154,0.204142,0.214544,0.195675,0.181888,0.171723,0.346515,0.523586,0.516839,0.402547,0.346617,0.662718,0.650483,0.65064,0.632903,0.639507,0.654299,0.599332,0.565176,0.580889,0.63322,0.615142,0.564862,0.541521,0.541737,0.548741,0.648901,0.671143,0.723291,0.807686,0.811205,0,0.295974,0.507802,0.55255,0.633178,0.471045,0.463485,0.48198,0.500495,0.493944,0,0.316354,0.604908,0.79674,0.760221,0.466586,0.523215,0.541402,0.534438,0.549067,0.186981,0.157751,0.199328,0.208523,0.186692,0.481701,0.4236,0.438914,0.374902,0.328171,0.624968,0.616596,0.616329,0.606979,0.627434,0.613928,0.566254,0.539263,0.588094,0.609908,0.582132,0.537031,0.505617,0.506401,0.517153,0.771121,0.783193,0.783314,0.777937,0.786625,0,0.336382,0.580815,0.48597,0.628928,0.460059,0.453645,0.476742,0.498867,0.484729,0,0.309896,0.588884,0.79096,0.750666,0.502851,0.564185,0.592883,0.56027,0.560373,0.175635,0.199213,0.228151,0.213987,0.20003,0.381181,0.448299,0.444898,0.352363,0.333994,0.610086,0.604622,0.604929,0.604474,0.610421,0.601755,0.574539,0.57843,0.631474,0.619858,0.564485,0.529966,0.501232,0.549833,0.555297,0.771362,0.756029,0.736544,0.773247,0.784631,0,0.326395,0.550812,0.473322,0.609488,0.480473,0.603594,0.608876,0.49113,0.47916,0,0.184343,0.455263,0.778085,0.727161,0.528592,0.597555,0.630718,0.590297,0.574795,0.206154,0.240711,0.236198,0.22452,0.200373,0.446544,0.451424,0.412917,0.334622,0.308452,0.621623,0.618316,0.618412,0.554987,0.574385,0.615232,0.547784,0.603384,0.662124,0.610375,0.548921,0.530435,0.490577,0.577776,0.585807,0.764438,0.7551,0.730533,0.732835,0.749033,0,0.179104,0.348525,0.404708,0.471144,0.573003
0.808648,0.814782,0.868061,0.927239,0.922956,0,0.944751,0.945475,0.949858,0.947812,0.270036,0.272554,0.25418,0.253147,0.242479,0.493944,0.494548,0.560348,0.621866,0.712113,0.829791,0.895767,0.983798,0.781916,0.747868,0.885462,0.8896,0.889995,0.884094,0.88743,0.904126,0.8877,0.755007,0.778447,0.907639,0.886115,0.892523,0.842141,0.761213,0.796195,0.972104,0.947342,0.94434,0.895154,0.884395,0,0.911861,0.791938,0.605957,0.724766,0.809099,0.835569,0.879503,0.865138,0.868608,0,0.941019,0.944172,0.946309,0.949013,0.2817,0.299831,0.255501,0.245074,0.237684,0.451113,0.448917,0.488317,0.542734,0.634018,0.777079,0.891745,0.877152,0.648813,0.630245,0.899444,0.906742,0.907374,0.898961,0.916847,0.894825,0.882498,0.74597,0.805511,0.899243,0.87831,0.907202,0.834776,0.733771,0.774368,0.983357,0.980173,0.973169,0.918047,0.909307,0,0.910569,0.860053,0.545373,0.737523,0.811019,0.801551,0.831958,0.815684,0.80971,0,0.945313,0.952575,0.962335,0.9685,0.281988,0.320273,0.303186,0.249399,0.233918,0.400287,0.381126,0.395682,0.421227,0.523202,0.789219,0.89628,0.736683,0.509913,0.56329,0.906459,0.910531,0.910704,0.920329,0.930742,0.906178,0.903494,0.80731,0.856193,0.927739,0.894538,0.919165,0.851345,0.795578,0.834454,0.968858,0.963493,0.962321,0.968686,0.967353,0,0.922422,0.856885,0.54703,0.745023,0.755682,0.74174,0.783428,0.799722,0.78276,0,0.944444,0.955486,0.957643,0.959472,0.284328,0.331765,0.33885,0.277715,0.238778,0.300514,0.298476,0.321266,0.360624,0.38416,0.696905,0.705499,0.613103,0.426968,0.429331,0.904715,0.904838,0.905024,0.893989,0.909362,0.903853,0.890331,0.881824,0.905025,0.920555,0.887417,0.887902,0.858958,0.868555,0.889209,0.973577,0.958135,0.959207,0.953049,0.957431,0,0.916045,0.75067,0.477085,0.594963,0.737416
0.601021,0.565073,0.54726,0.469879,0.445235,0,0.038674,0.094785,0.300851,0.329639,0.535228,0.559827,0.569603,0.558917,0.534036,0.208015,0.193805,0.196824,0.202088,0.200762,0.219442,0.197563,0.208964,0.220924,0.215887,0.376495,0.360277,0.359947,0.254033,0.271509,0.420325,0.269546,0.189726,0.239391,0.357988,0.384734,0.314637,0.215542,0.183032,0.20668,0.667074,0.622963,0.588996,0.525955,0.545702,0,0.01741,0.071521,0.19685,0.258411,0.257076,0.296437,0.320568,0.337555,0.350539,0,0.219839,0.454294,0.615532,0.560385,0.589325,0.606972,0.580442,0.560461,0.544762,0.185309,0.17728,0.185103,0.192249,0.191021,0.178538,0.181293,0.169862,0.178885,0.174769,0.294754,0.297183,0.297147,0.297081,0.323808,0.294195,0.298394,0.297013,0.323679,0.359471,0.24563,0.25311,0.234282,0.260343,0.25884,0.622043,0.594866,0.580674,0.572396,0.574325,0,0.20935,0.436268,0.379403,0.460259,0.260231,0.264018,0.271877,0.259374,0.256047,0,0.221354,0.50657,0.736347,0.685698,0.612011,0.639632,0.627964,0.583178,0.559087,0.161272,0.163329,0.171246,0.172926,0.175084,0.168296,0.164605,0.164968,0.177916,0.179086,0.294966,0.294262,0.294413,0.293407,0.300505,0.289607,0.300899,0.344747,0.370128,0.345223,0.243058,0.247272,0.236795,0.307524,0.292521,0.578028,0.562601,0.541683,0.599373,0.602695,0,0.23368,0.494287,0.465897,0.58111,0.24923,0.266779,0.270298,0.262064,0.242318,0,0.204545,0.489653,0.699816,0.650918,0.631913,0.667736,0.671771,0.631255,0.584855,0.14564,0.153278,0.157254,0.164734,0.153887,0.149482,0.149291,0.177917,0.182168,0.168124,0.28434,0.277964,0.277823,0.239847,0.258911,0.279046,0.242839,0.25265,0.302933,0.269285,0.221923,0.217312,0.176949,0.229947,0.236884,0.565692,0.559596,0.546212,0.509311,0.531137,0,0.35541,0.772654,0.666917,0.696048,0.199595
0.328745,0.328922,0.364168,0.450101,0.467743,0,0.237569,0.458076,0.573321,0.463457,0.54779,0.506917,0.441663,0.38516,0.348092,0.110894,0.127845,0.210852,0.261316,0.271358,0.096957,0.116488,0.184638,0.376238,0.459707,0.427788,0.425327,0.425324,0.554055,0.563363,0.404929,0.474278,0.456187,0.466576,0.521403,0.365287,0.367212,0.385561,0.418101,0.42249,0.720831,0.708063,0.725169,0.724456,0.735614,0,0.249184,0.448635,0.446765,0.428505,0.290457,0.31703,0.349105,0.39974,0.413106,0,0.203753,0.453988,0.550336,0.443374,0.559155,0.530381,0.43954,0.37282,0.343296,0.104365,0.136059,0.198821,0.226071,0.228955,0.08471,0.083176,0.152286,0.239458,0.294246,0.399406,0.409726,0.409682,0.525674,0.547162,0.370433,0.437286,0.416792,0.457636,0.493248,0.327471,0.346713,0.348488,0.376154,0.382416,0.722441,0.678314,0.679566,0.711042,0.722164,0,0.230691,0.478975,0.393433,0.422828,0.315792,0.339646,0.357375,0.38214,0.390125,0,0.171875,0.419876,0.546139,0.436479,0.561709,0.549304,0.474909,0.366191,0.319722,0.168779,0.21016,0.201648,0.198114,0.215392,0.096016,0.107357,0.145269,0.206522,0.236618,0.420868,0.4344,0.434482,0.50426,0.513909,0.395094,0.435743,0.440576,0.481813,0.500116,0.336872,0.35996,0.348266,0.399399,0.401665,0.650224,0.617929,0.618532,0.716712,0.722423,0,0.20246,0.444378,0.383388,0.409149,0.40201,0.411511,0.401433,0.376726,0.379515,0,0.159091,0.404943,0.534991,0.422302,0.564302,0.543387,0.479781,0.375088,0.30708,0.221488,0.220511,0.173109,0.179833,0.207261,0.084586,0.101619,0.144422,0.188572,0.200332,0.492961,0.49331,0.49344,0.503934,0.512276,0.481074,0.43616,0.482748,0.51715,0.481089,0.401984,0.398032,0.373467,0.434696,0.43708,0.54872,0.553496,0.6051,0.68185,0.67556,0,0.168843,0.359249,0.32582,0.311298,0.412396
0.662472,0.605583,0.573961,0.456171,0.440132,0,0.209945,0.456491,0.59508,0.487819,0.307357,0.311811,0.319377,0.341016,0.381621,0.46214,0.280294,0.12382,0.088444,0.108807,0.690199,0.553708,0.263455,0.194814,0.180667,0.744146,0.728963,0.72886,0.688909,0.598061,0.749615,0.630722,0.551135,0.529564,0.540168,0.695515,0.634878,0.576203,0.503914,0.49096,0.826662,0.800702,0.814391,0.855821,0.848109,0,0.226333,0.438231,0.472783,0.457944,0.647207,0.539957,0.508888,0.448519,0.451381,0,0.203753,0.464724,0.571429,0.460526,0.306222,0.326852,0.307976,0.324055,0.369888,0.361658,0.120743,0.102869,0.15282,0.163211,0.630946,0.370885,0.21466,0.242578,0.233936,0.729147,0.712155,0.712117,0.672412,0.589409,0.713335,0.588555,0.513816,0.533646,0.522244,0.657291,0.606387,0.5339,0.463045,0.458043,0.826123,0.82477,0.837217,0.839327,0.833419,0,0.231707,0.490802,0.410746,0.442237,0.64317,0.478985,0.468642,0.464917,0.462902,0,0.200521,0.453104,0.557439,0.446555,0.286054,0.336214,0.339126,0.320253,0.357986,0.243425,0.095076,0.14546,0.186502,0.184124,0.566384,0.305636,0.249596,0.270156,0.256054,0.715309,0.692931,0.693051,0.661031,0.531404,0.702666,0.584554,0.554969,0.58133,0.495345,0.659271,0.588416,0.524975,0.50748,0.492151,0.810451,0.816205,0.813238,0.828558,0.825319,0,0.227058,0.469633,0.390539,0.418043,0.620778,0.477253,0.483299,0.490889,0.475546,0,0.194444,0.427274,0.537753,0.427004,0.271465,0.32178,0.349133,0.333291,0.369799,0.176448,0.116604,0.174068,0.217965,0.170517,0.503611,0.270336,0.241513,0.228061,0.189609,0.725174,0.704465,0.704592,0.663147,0.567152,0.713259,0.588884,0.609588,0.635075,0.515078,0.667206,0.585923,0.540987,0.564331,0.547536,0.829701,0.843083,0.829212,0.771679,0.771962,0,0.205224,0.384987,0.326321,0.313746,0.396451
0.732982,0.750216,0.79694,0.836491,0.830015,0,0.588674,0.752734,0.855251,0.815841,0.408002,0.407898,0.399657,0.387859,0.378232,0.50654,0.517914,0.566632,0.582813,0.615789,0.710684,0.782212,0.791384,0.763446,0.752991,0.807961,0.808483,0.808534,0.788573,0.790521,0.820386,0.820588,0.710912,0.710399,0.796349,0.786723,0.788291,0.763207,0.693416,0.709028,0.936138,0.9024,0.896994,0.845312,0.846033,0,0.586507,0.652146,0.568299,0.655607,0.726934,0.758702,0.805814,0.805477,0.818847,0,0.575335,0.747546,0.842761,0.788651,0.427107,0.43947,0.410664,0.391579,0.379985,0.47608,0.495359,0.531986,0.537126,0.546349,0.634068,0.733414,0.742236,0.726464,0.698036,0.808767,0.812146,0.812,0.7937,0.812782,0.803664,0.809443,0.702198,0.735089,0.794127,0.769592,0.787894,0.749308,0.66873,0.688961,0.946014,0.90331,0.890158,0.842742,0.844179,0,0.585366,0.704993,0.506269,0.63817,0.738819,0.727106,0.758697,0.780995,0.777185,0,0.565625,0.744903,0.845574,0.807064,0.438595,0.471102,0.461531,0.408478,0.38383,0.440827,0.453436,0.487869,0.490358,0.512303,0.657526,0.738159,0.75359,0.742904,0.733102,0.807489,0.806629,0.807094,0.798808,0.806076,0.812373,0.797812,0.718531,0.751502,0.805323,0.786732,0.779012,0.727168,0.683904,0.706627,0.942425,0.886682,0.865354,0.854491,0.868273,0,0.580889,0.689116,0.50165,0.649725,0.7334,0.731282,0.770119,0.779631,0.769514,0,0.549495,0.729939,0.836096,0.792768,0.44272,0.475275,0.480903,0.427833,0.389899,0.425861,0.437161,0.440309,0.469795,0.484623,0.670545,0.696935,0.723227,0.692301,0.679396,0.826966,0.821717,0.822408,0.801273,0.807439,0.834141,0.788026,0.771163,0.791725,0.801063,0.789996,0.77148,0.7383,0.73393,0.751005,0.936096,0.910162,0.88571,0.8382,0.84855,0,0.554104,0.590349,0.433509,0.511368,0.624753
