"";"x"
"1";"cieloDespejado"
"2";"cieloDespejado"
"3";"nube"
"4";"cieloDespejado"
"5";"cieloDespejado"
"6";"cieloDespejado"
"7";"cieloDespejado"
"8";"cieloDespejado"
"9";"cieloDespejado"
"10";"cieloDespejado"
"11";"cieloDespejado"
"12";"cieloDespejado"
"13";"cieloDespejado"
"14";"cieloDespejado"
"15";"multinube"
"16";"cieloDespejado"
"17";"multinube"
"18";"cieloDespejado"
"19";"cieloDespejado"
"20";"cieloDespejado"
"21";"cieloDespejado"
"22";"cieloDespejado"
"23";"cieloDespejado"
"24";"cieloDespejado"
"25";"multinube"
"26";"cieloDespejado"
"27";"cieloDespejado"
"28";"cieloDespejado"
"29";"cieloDespejado"
"30";"multinube"
"31";"cieloDespejado"
"32";"cieloDespejado"
"33";"cieloDespejado"
"34";"cieloDespejado"
"35";"multinube"
"36";"cieloDespejado"
"37";"cieloDespejado"
"38";"cieloDespejado"
"39";"cieloDespejado"
"40";"cieloDespejado"
"41";"multinube"
"42";"cieloDespejado"
"43";"cieloDespejado"
"44";"multinube"
"45";"cieloDespejado"
"46";"multinube"
"47";"nube"
"48";"cieloDespejado"
"49";"nube"
"50";"multinube"
"51";"nube"
"52";"cieloDespejado"
"53";"cieloDespejado"
"54";"cieloDespejado"
"55";"cieloDespejado"
"56";"cieloDespejado"
"57";"cieloDespejado"
"58";"cieloDespejado"
"59";"cieloDespejado"
"60";"cieloDespejado"
"61";"cieloDespejado"
"62";"cieloDespejado"
"63";"cieloDespejado"
"64";"cieloDespejado"
"65";"cieloDespejado"
"66";"multinube"
"67";"cieloDespejado"
"68";"cieloDespejado"
"69";"cieloDespejado"
"70";"cieloDespejado"
"71";"cieloDespejado"
"72";"cieloDespejado"
"73";"cieloDespejado"
"74";"cieloDespejado"
"75";"cieloDespejado"
"76";"cieloDespejado"
"77";"cieloDespejado"
"78";"multinube"
"79";"cieloDespejado"
"80";"nube"
"81";"cieloDespejado"
"82";"cieloDespejado"
"83";"cieloDespejado"
"84";"nube"
"85";"cieloDespejado"
"86";"cieloDespejado"
"87";"cieloDespejado"
"88";"cieloDespejado"
"89";"multinube"
"90";"nube"
"91";"multinube"
"92";"cieloDespejado"
"93";"cieloDespejado"
"94";"cieloDespejado"
"95";"cieloDespejado"
"96";"cieloDespejado"
"97";"cieloDespejado"
"98";"nube"
"99";"cieloDespejado"
"100";"multinube"
"101";"cieloDespejado"
"102";"cieloDespejado"
"103";"cieloDespejado"
"104";"cieloDespejado"
"105";"cieloDespejado"
"106";"cieloDespejado"
"107";"multinube"
"108";"cieloDespejado"
"109";"cieloDespejado"
"110";"cieloDespejado"
"111";"multinube"
"112";"cieloDespejado"
"113";"cieloDespejado"
"114";"cieloDespejado"
"115";"multinube"
"116";"cieloDespejado"
"117";"cieloDespejado"
"118";"cieloDespejado"
"119";"cieloDespejado"
"120";"cieloDespejado"
"121";"cieloDespejado"
"122";"multinube"
"123";"cieloDespejado"
"124";"cieloDespejado"
"125";"cieloDespejado"
"126";"cieloDespejado"
"127";"nube"
"128";"multinube"
"129";"multinube"
"130";"cieloDespejado"
"131";"cieloDespejado"
"132";"cieloDespejado"
"133";"cieloDespejado"
"134";"cieloDespejado"
"135";"cieloDespejado"
"136";"nube"
"137";"cieloDespejado"
"138";"cieloDespejado"
"139";"cieloDespejado"
"140";"cieloDespejado"
"141";"cieloDespejado"
"142";"cieloDespejado"
"143";"cieloDespejado"
"144";"cieloDespejado"
"145";"cieloDespejado"
"146";"multinube"
"147";"cieloDespejado"
"148";"cieloDespejado"
"149";"cieloDespejado"
"150";"multinube"
"151";"multinube"
"152";"cieloDespejado"
"153";"cieloDespejado"
"154";"cieloDespejado"
"155";"cieloDespejado"
"156";"cieloDespejado"
"157";"cieloDespejado"
"158";"cieloDespejado"
"159";"cieloDespejado"
"160";"cieloDespejado"
"161";"cieloDespejado"
"162";"cieloDespejado"
"163";"cieloDespejado"
"164";"multinube"
"165";"cieloDespejado"
"166";"cieloDespejado"
"167";"cieloDespejado"
"168";"multinube"
"169";"cieloDespejado"
"170";"cieloDespejado"
"171";"multinube"
"172";"cieloDespejado"
"173";"cieloDespejado"
"174";"cieloDespejado"
"175";"cieloDespejado"
"176";"cieloDespejado"
"177";"cieloDespejado"
"178";"cieloDespejado"
"179";"cieloDespejado"
"180";"cieloDespejado"
"181";"cieloDespejado"
"182";"cieloDespejado"
"183";"cieloDespejado"
"184";"cieloDespejado"
"185";"cieloDespejado"
"186";"cieloDespejado"
"187";"cieloDespejado"
"188";"multinube"
"189";"cieloDespejado"
"190";"cieloDespejado"
"191";"cieloDespejado"
"192";"cieloDespejado"
"193";"cieloDespejado"
"194";"cieloDespejado"
"195";"cieloDespejado"
"196";"cieloDespejado"
"197";"cieloDespejado"
"198";"cieloDespejado"
"199";"cieloDespejado"
"200";"cieloDespejado"
"201";"multinube"
"202";"cieloDespejado"
"203";"multinube"
"204";"cieloDespejado"
"205";"cieloDespejado"
"206";"cieloDespejado"
"207";"cieloDespejado"
"208";"cieloDespejado"
"209";"nube"
"210";"cieloDespejado"
