"";"x"
"1";"cieloDespejado"
"2";"cieloDespejado"
"3";"cieloDespejado"
"4";"cieloDespejado"
"5";"multinube"
"6";"multinube"
"7";"cieloDespejado"
"8";"cieloDespejado"
"9";"cieloDespejado"
"10";"cieloDespejado"
"11";"cieloDespejado"
"12";"cieloDespejado"
"13";"cieloDespejado"
"14";"cieloDespejado"
"15";"cieloDespejado"
"16";"cieloDespejado"
"17";"cieloDespejado"
"18";"cieloDespejado"
"19";"cieloDespejado"
"20";"cieloDespejado"
"21";"cieloDespejado"
"22";"cieloDespejado"
"23";"cieloDespejado"
"24";"cieloDespejado"
"25";"cieloDespejado"
"26";"cieloDespejado"
"27";"cieloDespejado"
"28";"multinube"
"29";"cieloDespejado"
"30";"nube"
"31";"cieloDespejado"
"32";"multinube"
"33";"cieloDespejado"
"34";"cieloDespejado"
"35";"cieloDespejado"
"36";"cieloDespejado"
"37";"cieloDespejado"
"38";"cieloDespejado"
"39";"cieloDespejado"
"40";"cieloDespejado"
"41";"cieloDespejado"
"42";"multinube"
"43";"cieloDespejado"
"44";"cieloDespejado"
"45";"cieloDespejado"
"46";"nube"
"47";"cieloDespejado"
"48";"cieloDespejado"
"49";"cieloDespejado"
"50";"cieloDespejado"
"51";"cieloDespejado"
"52";"cieloDespejado"
"53";"multinube"
"54";"cieloDespejado"
"55";"cieloDespejado"
"56";"multinube"
"57";"nube"
"58";"cieloDespejado"
"59";"nube"
"60";"cieloDespejado"
"61";"cieloDespejado"
"62";"cieloDespejado"
"63";"cieloDespejado"
"64";"cieloDespejado"
"65";"cieloDespejado"
"66";"cieloDespejado"
"67";"cieloDespejado"
"68";"cieloDespejado"
"69";"cieloDespejado"
"70";"cieloDespejado"
"71";"cieloDespejado"
"72";"cieloDespejado"
"73";"nube"
"74";"cieloDespejado"
"75";"multinube"
"76";"cieloDespejado"
"77";"cieloDespejado"
"78";"cieloDespejado"
"79";"multinube"
"80";"cieloDespejado"
"81";"cieloDespejado"
"82";"cieloDespejado"
"83";"cieloDespejado"
"84";"multinube"
"85";"cieloDespejado"
"86";"cieloDespejado"
"87";"cieloDespejado"
"88";"cieloDespejado"
"89";"cieloDespejado"
"90";"nube"
"91";"cieloDespejado"
"92";"multinube"
"93";"cieloDespejado"
"94";"cieloDespejado"
"95";"multinube"
"96";"nube"
"97";"nube"
"98";"cieloDespejado"
"99";"cieloDespejado"
"100";"cieloDespejado"
"101";"cieloDespejado"
"102";"cieloDespejado"
"103";"cieloDespejado"
"104";"cieloDespejado"
"105";"cieloDespejado"
"106";"cieloDespejado"
"107";"cieloDespejado"
"108";"cieloDespejado"
"109";"cieloDespejado"
"110";"cieloDespejado"
"111";"cieloDespejado"
"112";"cieloDespejado"
"113";"cieloDespejado"
"114";"cieloDespejado"
"115";"cieloDespejado"
"116";"cieloDespejado"
"117";"cieloDespejado"
"118";"cieloDespejado"
"119";"cieloDespejado"
"120";"nube"
"121";"cieloDespejado"
"122";"cieloDespejado"
"123";"cieloDespejado"
"124";"multinube"
"125";"cieloDespejado"
"126";"cieloDespejado"
"127";"nube"
"128";"cieloDespejado"
"129";"nube"
"130";"cieloDespejado"
"131";"multinube"
"132";"cieloDespejado"
"133";"cieloDespejado"
"134";"cieloDespejado"
"135";"cieloDespejado"
"136";"cieloDespejado"
"137";"cieloDespejado"
"138";"cieloDespejado"
"139";"cieloDespejado"
"140";"cieloDespejado"
"141";"cieloDespejado"
"142";"cieloDespejado"
"143";"cieloDespejado"
"144";"cieloDespejado"
"145";"nube"
"146";"cieloDespejado"
"147";"cieloDespejado"
"148";"multinube"
"149";"cieloDespejado"
"150";"cieloDespejado"
"151";"cieloDespejado"
"152";"cieloDespejado"
"153";"cieloDespejado"
"154";"cieloDespejado"
"155";"multinube"
"156";"cieloDespejado"
"157";"multinube"
"158";"multinube"
"159";"cieloDespejado"
"160";"cieloDespejado"
"161";"cieloDespejado"
"162";"cieloDespejado"
"163";"cieloDespejado"
"164";"cieloDespejado"
"165";"nube"
"166";"cieloDespejado"
"167";"cieloDespejado"
"168";"cieloDespejado"
"169";"cieloDespejado"
"170";"cieloDespejado"
"171";"cieloDespejado"
"172";"cieloDespejado"
"173";"cieloDespejado"
"174";"cieloDespejado"
"175";"cieloDespejado"
"176";"multinube"
"177";"cieloDespejado"
"178";"multinube"
"179";"cieloDespejado"
"180";"cieloDespejado"
"181";"cieloDespejado"
"182";"cieloDespejado"
"183";"cieloDespejado"
"184";"cieloDespejado"
"185";"nube"
"186";"cieloDespejado"
"187";"multinube"
"188";"multinube"
"189";"multinube"
"190";"cieloDespejado"
"191";"nube"
"192";"cieloDespejado"
"193";"cieloDespejado"
"194";"cieloDespejado"
"195";"cieloDespejado"
"196";"cieloDespejado"
"197";"cieloDespejado"
"198";"multinube"
"199";"cieloDespejado"
"200";"cieloDespejado"
"201";"cieloDespejado"
"202";"nube"
"203";"cieloDespejado"
"204";"cieloDespejado"
"205";"cieloDespejado"
"206";"cieloDespejado"
"207";"cieloDespejado"
"208";"cieloDespejado"
"209";"cieloDespejado"
"210";"cieloDespejado"
"211";"cieloDespejado"
