@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE isBlocked {Blocked, Free}
@ATTRIBUTE isEnemy {Enemy, NoEnemy}
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE jumped {Jumped, NoJumped}
@ATTRIBUTE action {move_jump, move, jump, still}

@data
0,0,0,0,0,-60,-60,1414,Free,NoEnemy,Ground,NoJumped,still
0,0,-60,-60,-60,-60,-60,921,Blocked,NoEnemy,Air,Jumped,move_jump
0,0,0,-24,0,-60,-60,905,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,0,80,-24,-60,-60,100,Free,Enemy,Ground,Jumped,move_jump
0,0,0,-24,0,-60,-60,707,Blocked,NoEnemy,Ground,NoJumped,move
0,0,0,-24,0,-60,-60,707,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,0,-24,0,-60,-60,707,Blocked,NoEnemy,Air,Jumped,move_jump
0,0,2,2,2,-24,0,728,Free,NoEnemy,Ground,NoJumped,move
0,0,0,80,0,-60,-60,316,Free,Enemy,Ground,NoJumped,move_jump
0,0,-60,-60,-60,-60,-60,1414,Blocked,NoEnemy,Ground,NoJumped,move
0,0,-60,-60,-60,-60,-60,1414,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,-60,-60,-60,-60,-60,1414,Blocked,NoEnemy,Air,Jumped,move_jump
0,0,0,0,0,-60,-60,1414,Free,NoEnemy,Ground,NoJumped,move
0,0,0,0,0,-60,-60,1414,Free,NoEnemy,Ground,NoJumped,move
0,0,0,-60,-60,0,-60,806,Blocked,NoEnemy,Air,NoJumped,move_jump
0,0,-60,-60,-60,-60,-60,806,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,0,80,0,-60,-60,100,Free,Enemy,Ground,Jumped,move_jump
0,0,0,-24,-24,-24,0,360,Blocked,NoEnemy,Ground,NoJumped,move
0,0,0,-24,-24,-24,0,316,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,0,-24,-24,-24,0,316,Blocked,NoEnemy,Air,Jumped,move_jump
0,0,0,0,0,0,-24,412,Free,NoEnemy,Ground,Jumped,move
0,0,0,0,80,-60,-60,200,Free,Enemy,Ground,NoJumped,move_jump
0,0,0,-60,-60,-60,-60,1414,Blocked,NoEnemy,Ground,NoJumped,move
0,0,0,-60,-60,-60,-60,1414,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,0,-60,-60,-60,-60,1414,Blocked,NoEnemy,Air,Jumped,move_jump
0,0,0,0,-24,-60,-60,921,Free,NoEnemy,Ground,NoJumped,move
0,0,0,80,0,-60,-60,141,Free,Enemy,Ground,NoJumped,move_jump
0,0,0,-60,-60,-60,-60,900,Blocked,NoEnemy,Ground,NoJumped,move
0,0,0,-60,-60,-60,-60,1414,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,0,-60,-60,-60,-60,1414,Blocked,NoEnemy,Air,Jumped,move_jump
0,0,0,0,0,-60,-60,1414,Free,NoEnemy,Ground,NoJumped,move
0,0,0,80,0,-60,-60,100,Free,Enemy,Ground,NoJumped,move_jump
0,0,0,0,0,-60,-60,905,Free,NoEnemy,Ground,NoJumped,move
0,0,0,-60,-60,-60,-60,360,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,0,-60,-60,-60,-60,360,Blocked,NoEnemy,Air,Jumped,move_jump
0,0,0,80,80,-60,-60,100,Free,Enemy,Ground,NoJumped,move_jump
0,0,-60,-60,-60,-60,-60,900,Blocked,NoEnemy,Ground,NoJumped,move
0,0,-60,-60,-60,-60,-60,900,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,-60,-60,-60,-60,-60,900,Blocked,NoEnemy,Air,Jumped,move_jump
0,0,0,0,0,-60,-60,921,Free,NoEnemy,Ground,NoJumped,move
0,0,0,0,80,-60,-60,200,Free,Enemy,Ground,NoJumped,move_jump
0,0,0,-24,-24,-60,-60,600,Blocked,NoEnemy,Ground,NoJumped,move
0,0,0,-24,-24,-60,-60,700,Blocked,NoEnemy,Ground,NoJumped,move_jump
0,0,0,-24,-24,-60,-60,700,Blocked,NoEnemy,Air,Jumped,move_jump
0,0,2,0,2,-24,-24,707,Free,NoEnemy,Ground,NoJumped,move
