@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE distanceCoin NUMERIC
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE isDanger {Enemy, NoEnemy}
@ATTRIBUTE isEnemyBelow {Enemy, NoEnemy}
@ATTRIBUTE isCoin {Coin, NoCoin}
@ATTRIBUTE action {move, jump, move_jump, still}
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE futureReward NUMERIC

@data
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,-1,-1
0,0,80,0,-60,-60,-60,141,721,Ground,NoEnemy,Enemy,NoCoin,move,-1,21
0,0,0,80,-60,-60,-60,100,721,Ground,Enemy,NoEnemy,NoCoin,move_jump,-43,21
0,0,2,2,2,-24,0,223,800,Ground,NoEnemy,NoEnemy,Coin,move,159,345
0,0,0,0,2,-24,0,223,800,Ground,NoEnemy,NoEnemy,NoCoin,move,191,345
0,0,2,2,2,0,80,141,800,Ground,Enemy,NoEnemy,Coin,move,191,345
0,0,2,80,0,-60,-60,100,900,Air,Enemy,NoEnemy,NoCoin,move_jump,191,345
-24,0,2,0,0,-24,80,141,900,Ground,Enemy,NoEnemy,Coin,move,441,483
0,0,0,0,0,80,0,100,806,Air,NoEnemy,Enemy,NoCoin,move_jump,493,599
0,0,0,0,0,0,0,400,721,Air,NoEnemy,NoEnemy,NoCoin,move_jump,493,599
0,0,0,0,0,0,0,894,670,Air,NoEnemy,NoEnemy,NoCoin,move_jump,493,599
0,0,2,2,0,-24,-24,316,600,Ground,NoEnemy,NoEnemy,Coin,move,557,599
0,0,0,0,0,80,0,100,1414,Ground,NoEnemy,Enemy,NoCoin,move,589,609
0,0,0,0,0,-60,-60,200,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,589,609
0,0,0,0,0,-60,-60,412,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,599,609
0,0,0,0,0,80,0,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,599,609
0,0,0,80,0,-60,-60,100,583,Ground,Enemy,NoEnemy,NoCoin,move_jump,609,737
0,0,0,80,0,-60,-60,100,583,Air,Enemy,NoEnemy,NoCoin,move_jump,609,737
0,0,2,2,2,-24,-24,984,806,Ground,NoEnemy,NoEnemy,Coin,move,609,801
0,0,0,0,2,-24,-24,984,806,Ground,NoEnemy,NoEnemy,NoCoin,move,641,801
0,0,2,2,2,-24,-24,894,800,Ground,NoEnemy,NoEnemy,Coin,move,641,801
0,0,0,0,2,-24,-24,894,800,Ground,NoEnemy,NoEnemy,NoCoin,move,673,811
0,0,0,0,-60,80,0,100,670,Air,NoEnemy,Enemy,NoCoin,move_jump,859,875
0,0,-60,-60,-60,-60,-60,1414,728,Air,NoEnemy,NoEnemy,NoCoin,move_jump,859,875
0,0,-60,-60,-60,-60,-60,1414,728,Ground,NoEnemy,NoEnemy,NoCoin,move,859,875
0,0,0,80,0,-60,-60,141,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,875,895
0,0,0,0,0,-85,80,100,632,Ground,Enemy,NoEnemy,NoCoin,move,885,959
0,0,2,2,0,-24,-24,538,141,Ground,NoEnemy,NoEnemy,Coin,move,927,969
0,0,0,0,-60,80,80,200,424,Air,Enemy,Enemy,NoCoin,move_jump,959,1033
0,0,0,-24,-24,0,-60,100,282,Air,NoEnemy,NoEnemy,NoCoin,move_jump,969,1033
0,0,0,-24,-24,0,-60,100,282,Air,NoEnemy,NoEnemy,NoCoin,move_jump,969,1033
0,0,2,2,80,-24,-24,200,141,Ground,NoEnemy,NoEnemy,Coin,move,1001,1033
0,0,0,0,2,80,-24,0,905,Air,NoEnemy,Enemy,NoCoin,move_jump,1033,1171
0,0,2,2,2,-24,-24,608,900,Ground,NoEnemy,NoEnemy,Coin,move,1033,1171
0,0,2,2,2,-24,-24,608,900,Ground,NoEnemy,NoEnemy,Coin,move,1033,1187
0,0,0,0,2,-24,-24,509,900,Ground,NoEnemy,NoEnemy,NoCoin,move,1065,1187
