Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,1,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6242.0,694.0,541.0,150.0,3.0,77.95389048991355,21.613832853025936,0.4322766570605187,0.5363971821536397,0.16911799326642346,0.2983199227727788,63.261024643121836,81.61458014043765,920.8736745557944,17736.360821875456,-16815.48714731966,1.3269073120400496,25.667671232815422,-24.33500310755378,352.6228380761166,0.5103080145819343,26442.777139099253,0.9926470588235294,405.0,0.45936395759717313,130.0,0.5406360424028268,153.0,0.007352941176470588,3.0,0.7570093457943925,0.9926470588235294,0.8589607635206786,0.7984154929577465,0.7829232995658466,0.28442527195177925,0.7155747280482206,0.2170767004341534,0.7421994400638381,0.7829232995658466,0.7433516519774774,0.7953281971241484,0.029,0.0,0.03125,0.0,140933.0,687071.0,82339.0,?,?,?,?
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,2,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6242.0,694.0,524.0,169.0,1.0,75.50432276657061,24.35158501440922,0.1440922190201729,0.47798355285150756,0.17637467377813826,0.31107475835210396,65.82989222035941,85.03909067436966,922.3977769000361,22055.80330719259,-21133.40553029255,1.3291034249280058,31.826555998834905,-30.49553467574683,330.16188993867775,0.47642408360559557,24758.45672136455,0.9804878048780488,402.0,0.4911660777385159,139.0,0.508833922261484,144.0,0.01951219512195122,8.0,0.7430683918669131,0.9804878048780488,0.8454258675078863,0.7783665407076606,0.7561327561327561,0.3089010481168958,0.6910989518831043,0.24386724386724387,0.7162659832319194,0.7561327561327561,0.7153473546743787,0.7763593828469423,0.03,0.0,0.015625,0.0,135373.0,687071.0,82339.0,?,?,?,?
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,3,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6242.0,694.0,531.0,155.0,8.0,76.51296829971182,22.334293948126803,1.1527377521613833,0.5137065866620324,0.175212126012526,0.30192783569205794,66.09933293016671,82.99762444535462,911.6443980234205,8119.733384321459,-7208.088986298038,1.313608642685044,11.836346041284926,-10.507418347373234,327.24729287787903,0.4770368700843718,24542.300424532586,0.9926108374384236,403.0,0.4785714285714286,134.0,0.5214285714285715,146.0,0.007389162561576354,3.0,0.750465549348231,0.9926108374384236,0.8547189819724285,0.77637798653112,0.7740524781341108,0.2979073396932416,0.7020926603067583,0.2259475218658892,0.7328616138329969,0.7740524781341108,0.7325324095346252,0.7776200425870087,0.023,0.001,0.03125,0.0,140917.0,687071.0,82339.0,?,?,?,?
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,4,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6242.0,694.0,539.0,153.0,2.0,77.6657060518732,22.046109510086456,0.2881844380403458,0.5269295729337016,0.16904173385676435,0.2951754677483669,63.16749517250137,80.7235335914476,921.6348764844031,12386.331390590574,-11464.696514106172,1.3280041447902062,17.899322818772507,-16.56748051171412,356.25844131165036,0.5148243371555641,26718.026048603755,0.9926650366748166,406.0,0.45936395759717313,130.0,0.5406360424028268,153.0,0.007334963325183374,3.0,0.7574626865671642,0.9926650366748166,0.8592592592592593,0.8362673186634066,0.7789017341040463,0.2874963300603508,0.7125036699396492,0.22109826589595374,0.7341259277915847,0.7789017341040463,0.73789532591683,0.820090384278535,0.024,0.0,0.015625,0.0,138157.0,687071.0,82339.0,?,?,?,?
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,5,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6242.0,694.0,507.0,185.0,2.0,73.05475504322767,26.65706051873199,0.2881844380403458,0.41737056724677774,0.18348734089645782,0.3190516305009359,68.57235552716747,87.26179651046621,919.482675069003,21019.618522986726,-20100.13584791772,1.3249029900129725,30.37517127599238,-29.046439086586304,300.6020257650607,0.4343959909899721,22544.006887483407,0.9828431372549019,401.0,0.5704225352112676,162.0,0.4295774647887324,122.0,0.01715686274509804,7.0,0.7122557726465364,0.9828431372549019,0.8259526261585993,0.7792090250075066,0.7326589595375722,0.3511500402165043,0.6488499597834955,0.26734104046242774,0.7032026419879478,0.7326589595375722,0.6858121188380631,0.7686671467054721,0.027,0.0,0.03125,0.0,138177.0,687071.0,82339.0,?,?,?,?
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,6,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6242.0,694.0,515.0,173.0,6.0,74.20749279538904,24.927953890489913,0.8645533141210374,0.45900886773843125,0.17800263415531312,0.3116796090249429,66.76417977155458,85.3000747325154,921.5612731319849,18842.966942487456,-17921.40566935547,1.3278980880864335,27.388033346638743,-26.048554751970162,320.3054448646268,0.46556023962881804,24030.264428779687,0.9851851851851852,399.0,0.5265017667844523,149.0,0.4734982332155477,134.0,0.014814814814814815,6.0,0.7281021897810219,0.9851851851851852,0.8373557187827911,0.7826362973448291,0.748546511627907,0.3254430798729465,0.6745569201270535,0.251453488372093,0.7258236642136061,0.748546511627907,0.7056435567600221,0.7800076243717299,0.023,0.001,0.03125,0.0,133953.0,687071.0,82339.0,?,?,?,?
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,7,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6243.0,693.0,526.0,164.0,3.0,75.9018759018759,23.665223665223664,0.4329004329004329,0.4884267631103073,0.17582892022172258,0.30263690493936257,65.75333325143126,82.76979851583921,919.7305084638317,11327.495902534896,-10407.765394071064,1.32717245088576,16.416660728311445,-15.083717962421833,335.2944626914773,0.48593400390069175,25143.914431430596,0.995085995085995,405.0,0.49469964664310956,140.0,0.5053003533568905,143.0,0.004914004914004914,2.0,0.7431192660550459,0.995085995085995,0.8508403361344536,0.812011432900582,0.7623188405797101,0.30796092795039604,0.692039072049604,0.23768115942028986,0.7216102605013653,0.7623188405797101,0.718496529046401,0.8084689204940501,0.025,0.0,0.015625,0.0,139549.0,687180.0,82230.0,?,?,?,?
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,8,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6243.0,693.0,540.0,152.0,1.0,77.92207792207792,21.933621933621932,0.1443001443001443,0.5278146884539414,0.17168812979319034,0.2965127529120681,64.06300158202973,81.03293498714922,921.2542894007802,11316.435267888795,-10395.180978488015,1.3293712689765949,16.353230155908665,-15.021937830184992,344.7449734451865,0.4981863778109631,25852.613381652234,0.9975550122249389,408.0,0.47703180212014135,135.0,0.5229681978798587,148.0,0.0024449877750611247,1.0,0.7513812154696132,0.9975550122249389,0.8571428571428571,0.8115293226350769,0.7803468208092486,0.2929377319200906,0.7070622680799095,0.21965317919075145,0.7438489719012186,0.7803468208092486,0.7397467657583264,0.8133095249490631,0.026,0.0,0.03125,0.0,137465.0,687180.0,82230.0,?,?,?,?
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,9,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6243.0,693.0,534.0,151.0,8.0,77.05627705627705,21.78932178932179,1.1544011544011543,0.5298857836297445,0.17063896801601827,0.294238461143736,64.36044027106546,80.86934534137455,907.9617039642848,14503.32525641293,-13595.363552448645,1.3101900490105118,21.17273760060282,-19.847246061968825,349.4566566679281,0.5101557031648585,26205.945073531777,0.9900990099009901,400.0,0.45195729537366547,127.0,0.5480427046263345,154.0,0.009900990099009901,4.0,0.7590132827324478,0.9900990099009901,0.8592910848549946,0.8259366713729812,0.7795620437956204,0.28370452236473015,0.7162954776352698,0.22043795620437956,0.7354753312302171,0.7795620437956204,0.7397230646895557,0.8199525959220512,0.03,0.0,0.0,0.0,141625.0,687180.0,82230.0,?,?,?,?
'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-19-weka.filters.unsupervised.attribute.Remove-R1-9-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R6-10-weka.filters.unsupervised.attribute.Remove-R11-15-weka.filters.unsupervised.attribute.Remove-R11-19-weka.filters.unsupervised.attribute.Remove-R16-20-weka.filters.unsupervised.attribute.Remove-R16-24-weka.filters.unsupervised.attribute.Remove-R21-25-weka.filters.unsupervised.attribute.Remove-R21-30-weka.filters.unsupervised.attribute.Remove-R25-29-weka.filters.unsupervised.attribute.Remove-R25-33-weka.filters.unsupervised.attribute.Remove-R30-34-weka.filters.unsupervised.attribute.Remove-R30-38-weka.filters.unsupervised.attribute.Remove-R35-39-weka.filters.unsupervised.attribute.Remove-R35-43-weka.filters.unsupervised.attribute.Remove-R40-44-weka.filters.unsupervised.attribute.Remove-R40-48-weka.filters.unsupervised.attribute.Remove-R45-49-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-63-weka.filters.unsupervised.attribute.Remove-R45-61-weka.filters.unsupervised.attribute.Remove-R1-10,35-44-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R10-12',1,10,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803162107E7,6243.0,693.0,537.0,153.0,3.0,77.4891774891775,22.07792207792208,0.4329004329004329,0.5227805929870398,0.17387884755393604,0.3008156281452947,65.12021498882035,82.39342422006398,915.9387335532416,16683.68042068169,-15767.741687128448,1.3217009142182419,24.1792469864952,-22.85179954656297,331.95428550797766,0.4810931674028662,24893.432724653914,0.9950980392156863,406.0,0.4858156028368794,137.0,0.5141843971631206,145.0,0.004901960784313725,2.0,0.7476979742173112,0.9950980392156863,0.853838065194532,0.7782551052033472,0.7782608695652173,0.29690578376937543,0.7030942162306245,0.2217391304347826,0.746676241759415,0.7782608695652173,0.738779609564303,0.7816684331961985,0.034,0.0,0.015625,0.0,133277.0,687180.0,82230.0,?,?,?,?
