@relation P2Mario-data-training-Bot

@attribute isEnemy {Front, Up, Behind, None}
@attribute isCoinMushroom {Front, Up, Behind, None}
@attribute isBlocked {true, false}
@attribute isOnGround {true, false}
@attribute jumped {true, false}
@attribute distancePassedPhys NUMERIC
@attribute marioStatus NUMERIC
@attribute coinsGained NUMERIC
@attribute mushroomsDevoured NUMERIC
@attribute killsByStomp NUMERIC
@attribute action {move_right, move_left, jump, jump_right, jump_left, still}
@attribute evaluation NUMERIC
@attribute situation {coin_mushroom, enemy, blocked, no_blocked}

@data
Front,None,false,true,false,32,0,0,0,0,jump_right,48.48,enemy
None,None,true,true,false,13,0,0,0,0,jump_right,19.69,blocked
None,Front,false,true,false,33,0,1,0,0,move_right,56.0,coin_mushroom
None,Front,false,true,false,32,0,2,0,0,move_right,60.48,no_blocked
None,Front,false,true,false,29,0,4,0,0,move_right,67.93,coin_mushroom
None,Up,true,true,false,12,0,3,0,0,jump_right,36.18,blocked
Front,Front,false,false,false,30,0,3,0,1,jump_right,67.45,enemy
Front,Front,false,false,false,30,0,3,0,1,jump_right,67.45,no_blocked
None,Front,false,false,true,30,0,3,0,0,move_right,63.45,coin_mushroom
None,Front,true,false,false,8,0,0,0,0,jump_right,12.12,blocked
Front,None,false,false,false,32,0,0,0,1,jump_right,52.48,enemy
Front,None,false,false,false,32,0,0,0,1,jump_right,52.48,no_blocked
Front,None,false,false,true,33,0,0,0,1,jump_right,54.0,enemy
None,Front,false,false,false,7,0,0,0,0,move_right,10.6,coin_mushroom
None,Front,true,false,false,2,0,0,0,0,jump_right,3.03,blocked
None,Front,false,false,true,10,0,0,0,0,move_right,15.15,no_blocked
None,Front,false,false,false,13,0,0,0,0,move_right,19.69,coin_mushroom
Front,None,false,true,false,33,0,0,0,0,jump_right,50.0,enemy
None,None,true,false,false,33,0,0,0,0,jump_right,50.0,blocked
None,None,false,false,true,32,0,0,0,0,move_right,48.48,no_blocked
Front,None,false,true,false,32,0,0,0,0,jump_right,48.48,enemy
Behind,None,true,false,false,7,0,0,0,0,jump_right,10.6,blocked
None,Front,true,false,true,7,0,0,0,0,jump_right,10.6,coin_mushroom
None,Front,false,false,true,10,0,0,0,0,move_right,15.15,no_blocked
None,Front,false,false,false,13,0,0,0,0,move_right,19.69,coin_mushroom
None,Front,true,false,false,9,0,0,0,1,jump_right,17.63,blocked
Front,None,false,false,false,26,0,1,0,1,jump_right,49.39,enemy
Front,None,false,false,false,26,0,1,0,1,jump_right,49.39,no_blocked
None,None,true,true,false,12,0,0,0,0,jump_right,18.18,blocked
None,Front,true,false,false,8,0,0,0,0,jump_right,12.12,coin_mushroom
Behind,None,false,false,false,18,0,0,0,0,move_right,27.27,enemy
Behind,None,false,false,false,18,0,0,0,0,move_right,27.27,no_blocked
None,Front,true,false,false,8,0,0,0,0,jump_right,12.12,coin_mushroom
None,Front,true,false,true,2,0,0,0,0,jump_right,3.03,blocked
Behind,None,true,false,true,0,0,0,0,0,jump_right,0.0,enemy
None,Front,false,false,true,13,0,0,0,0,move_right,19.69,no_blocked
None,Front,false,false,false,15,0,0,0,0,move_right,22.72,coin_mushroom
Front,Front,false,true,false,24,0,2,0,0,jump_right,48.36,enemy
None,None,true,false,false,32,0,0,0,0,jump_right,48.48,blocked
None,None,false,false,true,33,0,0,0,0,move_right,50.0,no_blocked
None,Front,false,false,false,33,0,1,0,0,move_right,56.0,coin_mushroom
None,Up,true,true,false,14,0,3,0,0,jump_right,39.21,blocked
Front,None,false,true,false,33,0,0,0,0,jump_right,50.0,enemy
Front,None,false,true,false,33,0,0,0,0,jump_right,50.0,no_blocked
Front,None,false,true,true,32,0,0,0,0,move_right,48.48,enemy
None,Front,false,false,false,33,0,2,0,0,move_right,62.0,coin_mushroom
None,Front,true,false,false,8,0,2,0,0,jump_right,24.12,blocked
None,Front,false,false,true,13,0,1,0,0,move_right,25.69,no_blocked
None,Front,false,false,false,15,0,0,0,0,move_right,22.72,coin_mushroom
None,Front,true,false,false,5,0,2,0,0,jump_right,19.57,blocked
Front,None,false,false,false,29,0,0,0,0,jump_right,43.93,enemy
Front,None,false,false,false,29,0,0,0,0,jump_right,43.93,no_blocked
Front,None,false,true,false,30,0,0,0,0,jump_right,45.45,enemy
None,None,true,false,false,7,0,0,0,0,jump_right,10.6,blocked
Behind,Front,false,false,false,33,0,2,0,0,move_right,62.0,coin_mushroom
Behind,Front,false,false,false,32,0,2,0,0,move_right,60.48,no_blocked
None,Front,false,true,false,33,0,4,0,0,move_right,74.0,coin_mushroom
Front,None,false,false,false,33,0,0,0,0,jump_right,50.0,enemy
Behind,None,true,false,false,9,0,0,0,1,jump_right,17.63,blocked
None,None,false,false,true,13,0,0,0,0,move_right,19.69,no_blocked
None,None,true,true,false,13,0,0,0,0,jump_right,19.69,blocked
Front,None,false,false,false,30,0,0,0,0,jump_right,45.45,enemy
Front,None,false,false,false,29,0,0,0,1,jump_right,47.93,enemy
None,None,true,false,false,7,0,0,0,1,jump_right,14.6,blocked
None,Front,true,true,false,25,0,1,0,0,jump_right,43.87,coin_mushroom
None,Front,false,false,true,27,0,2,0,0,move_right,52.9,no_blocked
None,Front,false,false,false,28,0,2,0,0,move_right,54.42,coin_mushroom
Front,Front,false,true,false,32,0,2,0,0,jump_right,60.48,enemy
None,None,true,true,false,8,0,0,0,0,jump_right,12.12,blocked
None,Front,false,false,true,10,0,0,0,0,move_right,15.15,no_blocked
