@relation P2Mario-data-training-Bot

@attribute isEnemy {Front,Up,Behind,None}
@attribute isCoinMushroom {Front,Up,Behind,None}
@attribute isBlocked {true,false}
@attribute isOnGround {true,false}
@attribute jumped {true,false}
@attribute distancePassedPhys numeric
@attribute marioStatus numeric
@attribute coinsGained numeric
@attribute mushroomsDevoured numeric
@attribute killsByStomp numeric
@attribute action {move_right,move_left,jump,jump_right,jump_left,still}
@attribute evaluation numeric
@attribute situation {coin_mushroom,enemy,blocked,no_blocked}

@data
Front,None,false,false,true,25,0,0,0,0,jump_right,37.87,enemy
None,None,true,true,false,7,0,0,0,0,move_right,10.6,blocked
None,Front,false,true,false,29,0,1,0,0,move_right,49.93,coin_mushroom
None,Front,false,true,false,29,0,1,0,0,move_right,49.93,no_blocked
None,Front,false,true,false,30,0,1,0,0,move_right,51.45,coin_mushroom
Front,Front,false,false,false,30,0,3,0,1,move_right,67.45,no_blocked
Front,Front,false,false,false,29,0,3,0,1,move_right,65.93,coin_mushroom
None,Front,true,false,false,10,0,0,0,0,move_right,15.15,blocked
Behind,None,false,false,false,23,0,0,0,0,move_right,34.84,enemy
Behind,None,false,false,false,23,0,0,0,0,move_right,34.84,no_blocked
None,Front,true,false,false,10,0,0,0,0,move_right,15.15,coin_mushroom
Behind,None,true,true,false,1,0,0,0,0,move_right,1.51,enemy
None,Front,false,false,true,10,0,0,0,0,jump_right,15.15,no_blocked
None,Front,false,false,true,13,0,0,0,0,move_right,19.69,coin_mushroom
Front,None,false,false,false,30,-1,0,0,1,move_right,15.45,enemy
None,None,false,false,false,29,0,0,0,0,move_right,43.93,no_blocked
Behind,None,true,false,false,7,0,0,0,0,move_right,10.6,enemy
None,Front,true,true,false,6,0,0,0,0,move_right,9.09,coin_mushroom
Front,Front,false,true,false,28,0,4,0,0,move_right,66.42,no_blocked
Front,Front,false,true,false,28,0,4,0,0,move_right,66.42,coin_mushroom
None,Front,true,false,true,31,0,1,0,0,jump_right,52.96,blocked
None,Front,false,false,true,31,0,2,0,0,jump_right,58.96,no_blocked
None,Front,false,false,true,31,0,2,0,0,jump_right,58.96,coin_mushroom
None,Front,true,true,false,13,0,4,0,0,jump_right,43.69,blocked
None,None,false,false,true,10,0,0,0,0,jump_right,15.15,no_blocked
Front,None,false,false,false,30,0,0,0,1,jump_right,49.45,enemy
None,None,true,false,true,30,0,0,0,0,jump_right,45.45,blocked
None,Front,false,false,false,8,0,0,0,0,move_right,12.12,coin_mushroom
None,Front,false,false,true,13,0,0,0,0,jump_right,19.69,no_blocked
None,Front,false,false,true,15,0,0,0,0,move_right,22.72,coin_mushroom
None,Front,true,false,false,4,0,2,0,0,move_right,18.06,blocked
Front,Behind,false,true,false,21,0,0,0,0,jump,31.81,enemy
None,None,false,false,true,10,0,0,0,0,move_right,15.15,no_blocked
Front,None,false,false,false,20,0,0,0,0,move_right,30.3,enemy
