@relation P2Mario-data-training-Bot

@attribute isEnemy {right, up, left, none}
@attribute isCoinMushroom {right, up, left, none}
@attribute isBlocked {true, false}
@attribute isOnGround {true, false}
@attribute jumped {true, false}
@attribute distancePassedPhys NUMERIC
@attribute marioStatus NUMERIC
@attribute coinsGained NUMERIC
@attribute mushroomsDevoured NUMERIC
@attribute killsByStomp NUMERIC
@attribute action {right, left, jump, jump_right, jump_left, still}
@attribute reward NUMERIC
@attribute situation {enemy_right_ground, enemy_right_ground_jumped, enemy_right_air, enemy_left, enemy_up, coin_mushroom_right, coin_mushroom_left, coin_mushroom_up, blocked_ground, blocked_ground_jumped, blocked_air, normal}
@attribute situation_+12 {enemy_right_ground, enemy_right_ground_jumped, enemy_right_air, enemy_left, enemy_up, coin_mushroom_right, coin_mushroom_left, coin_mushroom_up, blocked_ground, blocked_ground_jumped, blocked_air, normal}

@data
none,none,false,false,false,32,0,0,0,0,right,16.0,normal,normal
none,none,false,false,false,36,0,0,0,0,right,18.0,normal,normal
none,none,false,false,false,39,0,0,0,0,right,19.5,normal,normal
none,none,false,false,false,42,0,0,0,0,right,21.0,normal,normal
none,none,false,false,false,44,0,0,0,0,right,22.0,normal,normal
none,none,false,false,false,47,0,0,0,0,right,23.5,normal,normal
none,none,false,false,false,49,0,0,0,0,right,24.5,normal,normal
none,none,false,false,false,51,0,0,0,0,right,25.5,normal,normal
none,none,false,false,false,53,0,0,0,0,right,26.5,normal,normal
none,none,false,false,false,54,0,0,0,0,right,27.0,normal,normal
none,none,false,false,false,55,0,0,0,0,right,27.5,normal,normal
none,none,false,false,false,56,0,0,0,0,right,28.0,normal,normal
none,none,false,false,false,57,0,0,0,0,right,28.5,normal,normal
none,none,false,true,false,58,0,0,0,0,right,29.0,normal,normal
none,none,false,true,false,59,0,0,0,0,right,29.5,normal,normal
none,none,false,true,false,60,0,0,0,0,right,30.0,normal,normal
none,none,false,true,false,61,0,0,0,0,right,30.5,normal,normal
none,none,false,true,false,61,0,0,0,0,right,30.5,normal,normal
none,none,false,true,false,61,0,0,0,0,right,30.5,normal,normal
none,none,false,true,false,62,0,0,0,0,right,31.0,normal,normal
none,none,false,true,false,62,0,0,0,0,right,31.0,normal,normal
none,none,false,true,false,62,0,0,0,0,right,31.0,normal,normal
none,none,false,true,false,63,0,0,0,0,right,31.5,normal,normal
none,none,false,true,false,63,0,0,0,0,right,31.5,normal,normal
none,none,false,true,false,63,0,0,0,0,right,31.5,normal,normal
none,none,false,true,false,64,0,0,0,0,right,32.0,normal,normal
none,none,false,true,false,64,0,0,0,0,right,32.0,normal,normal
none,none,false,true,false,64,0,0,0,0,right,32.0,normal,enemy_right_air
none,none,false,true,false,64,0,0,0,0,right,32.0,normal,enemy_right_air
none,none,false,true,false,64,0,0,0,0,right,32.0,normal,enemy_right_ground_jumped
none,none,false,true,false,65,0,0,0,0,right,32.5,normal,enemy_right_ground
none,none,false,true,false,64,0,0,0,0,right,32.0,normal,enemy_right_air
none,none,false,true,false,65,0,0,0,0,right,32.5,normal,blocked_air
none,none,false,true,false,65,0,0,0,0,right,32.5,normal,blocked_air
none,none,false,true,false,61,0,0,0,0,right,30.5,normal,normal
none,none,false,true,false,56,0,0,0,0,right,28.0,normal,normal
none,none,false,false,false,52,0,0,0,0,right,26.0,normal,normal
none,none,false,false,false,48,0,0,0,0,right,24.0,normal,normal
none,none,false,false,false,45,0,0,0,0,right,22.5,normal,normal
right,none,false,false,false,41,0,0,0,0,jump_right,20.5,enemy_right_air,normal
right,none,false,false,true,39,0,0,0,0,jump_right,19.5,enemy_right_air,normal
right,none,false,true,true,37,0,0,0,0,right,18.5,enemy_right_ground_jumped,normal
right,none,false,true,false,34,0,0,0,0,jump_right,17.0,enemy_right_ground,normal
right,none,false,false,true,33,0,0,0,0,jump_right,16.5,enemy_right_air,normal
none,none,true,false,true,31,0,0,0,0,jump_right,15.5,blocked_air,normal
none,none,true,false,true,30,0,0,0,0,jump_right,15.0,blocked_air,normal
